0.58724,0.56978,0.51999,0.47259,0.42602,0.45729,0.32104,0.13058,0.15665,0.39157,0.40775,0.53346
0.56354,0.54235,0.48393,0.43522,0.38498,0.40154,0.2309,0.06291,0.28523,0.42915,0.38424,0.50301
0.63432,0.54273,0.51004,0.47349,0.41297,0.37478,0.17476,0.02315,0.2851,0.42725,0.34588,0.47109
0.71966,0.61887,0.55021,0.48586,0.43532,0.25666,0.05562,0.21645,0.33072,0.44175,0.41384,0.58188
0.61343,0.52198,0.48524,0.44225,0.38406,0.34331,0.14647,0.02261,0.21495,0.41095,0.32998,0.44927
0.52515,0.47931,0.49009,0.42345,0.37895,0.21564,0.04286,0.05869,0.31126,0.44601,0.39915,0.49202
0.5997,0.57629,0.52559,0.40431,0.31039,0.11705,NA,NA,0.26207,0.39659,0.43862,0.59356
0.65498,0.58608,0.52207,0.46471,0.4128,0.20212,0.02545,NA,0.19443,0.41783,0.39828,0.55014
0.58356,0.53311,0.51407,0.44409,0.39948,0.27099,0.07227,NA,0.30697,0.44532,0.37461,0.51239
0.52744,0.47244,0.48244,0.41984,0.36975,0.19107,0.03579,0.04175,0.29175,0.40959,0.42154,0.5046
0.68833,0.61128,0.55035,0.45533,0.33029,0.10286,NA,NA,0.27938,0.39615,0.43456,0.60173
0.612,0.56414,0.51124,0.44534,0.35853,0.14864,0.00623,NA,0.20883,0.40983,0.39823,0.52108
0.6007,0.5811,0.55542,0.47602,0.44749,0.29834,0.08558,NA,0.18811,0.46753,0.35646,0.51159
0.53836,0.47613,0.47651,0.40996,0.36273,0.25322,0.08188,0.00552,0.20637,0.46301,0.40714,0.4966
0.49723,0.46668,0.46768,0.40185,0.34066,0.16256,0.02533,0.01903,0.21622,0.43489,0.41261,0.50323
0.56736,0.59793,0.59439,0.51861,0.45669,0.19043,0.01261,NA,0.30297,0.42116,0.37889,0.47621
0.56988,0.59135,0.55968,0.49944,0.35432,0.10168,NA,NA,0.2281,0.40897,0.41151,0.55491
