0.83528,0.89999,0.91328,0.90285,0.82867,0.86333,0.52529,0.18797,0.21933,0.57,0.71511,0.82632
0.78385,0.84806,0.84448,0.84278,0.75253,0.73391,0.38502,0.14129,0.35458,0.61621,0.68597,0.7689
0.96303,0.89675,0.88585,0.85512,0.74504,0.63356,0.26664,0.08413,0.40816,0.67181,0.70355,0.82334
0.81486,0.83715,0.78027,0.77207,0.67518,0.35228,0.06394,0.29232,0.65133,0.85826,0.7006,0.77789
0.93562,0.87774,0.85886,0.81277,0.71337,0.58683,0.24844,0.08883,0.35582,0.64006,0.70212,0.80992
0.86039,0.75304,0.7864,0.72523,0.62566,0.31991,0.14259,0.20116,0.61686,0.93567,0.82335,0.87154
0.67321,0.69545,0.63425,0.56973,0.39136,0.11849,0.03386,0.38333,0.50332,0.83971,0.79777,0.74321
0.8851,0.80068,0.76257,0.7141,0.60534,0.24946,0.02675,0.02505,0.43231,0.88186,0.90247,0.86664
0.91059,0.81407,0.82905,0.77042,0.68759,0.44389,0.1676,0.0834,0.56042,0.8301,0.8154,0.88109
0.79882,0.68727,0.736,0.67991,0.58154,0.28312,0.11593,0.1463,0.55069,0.85112,0.78983,0.83402
0.79669,0.82059,0.74039,0.70826,0.47482,0.14227,0.01431,0.13218,0.54719,0.82481,0.74868,0.79003
0.85313,0.79504,0.7368,0.66986,0.49802,0.19163,0.02918,0.048,0.56205,0.8521,0.87632,0.82894
0.86344,0.82675,0.84585,0.80102,0.73841,0.45758,0.15503,0.0285,0.39369,0.77161,0.87163,0.8947
0.86236,0.74296,0.79083,0.71116,0.62427,0.41831,0.15817,0.06058,0.38532,0.77498,0.74765,0.8659
0.72358,0.61932,0.65967,0.60717,0.47766,0.21245,0.07445,0.06222,0.55101,0.81861,0.65158,0.71337
0.73042,0.81862,0.82758,0.85438,0.7325,0.31742,0.05155,0.01247,0.4313,0.78031,0.65582,0.74804
0.68819,0.71215,0.70317,0.68918,0.42493,0.0996,0.02581,0.28455,0.5262,0.83593,0.88379,0.77139
0.77644,0.71109,0.65748,0.59897,0.5123,0.26183,0.07022,0.01355,0.5333,0.78482,0.84565,0.84418
0.84826,0.76015,0.7902,0.73415,0.67229,0.41979,0.14589,0.03506,0.32388,0.77951,0.7908,0.85451
0.76606,0.67084,0.72072,0.65551,0.55489,0.38584,0.16136,0.09288,0.2694,0.68918,0.59959,0.76258
0.57465,0.41848,0.4156,0.35607,0.19789,0.08307,0.02976,0.09137,0.56965,0.67304,0.89079,0.78906
0.69352,0.80862,0.82752,0.86103,0.79914,0.54277,0.1807,0.02851,0.33118,0.61533,0.59121,0.70165
0.68757,0.73863,0.71668,0.67247,0.45536,0.14691,0.00757,0,0.40122,0.83231,0.75419,0.71333
0.68461,0.62114,0.5599,0.46557,0.28826,0.07815,0,0.2069,0.56826,0.83082,0.87271,0.76426
0.77636,0.71676,0.73863,0.67389,0.50034,0.27432,0.0968,0.0198,0.60845,0.80675,0.73778,0.79544
0.80183,0.69463,0.74439,0.68158,0.59972,0.36224,0.12838,0.02754,0.34845,0.73054,0.63744,0.77944
0.65523,0.52148,0.54142,0.46852,0.30619,0.12892,0.07655,0.0179,0.47763,0.71127,0.74125,0.72416
0.60335,0.39012,0.35222,0.30634,0.16461,0.05017,0,0.1875,0.53293,0.58894,0.93636,0.87484
0.65118,0.71425,0.69133,0.69061,0.50896,0.19451,0.02203,0.02827,0.534,0.75187,0.66292,0.69336
0.70678,0.77265,0.74493,0.73163,0.55573,0.16834,0.00571,0,0.25898,0.72576,0.74139,0.73535
0.67286,0.68212,0.66403,0.56975,0.32002,0.08706,0,0,0.56646,0.79404,0.81537,0.73349
0.7154,0.64413,0.64034,0.51501,0.29525,0.08496,0,0.1875,0.54044,0.80596,0.80637,0.76151
0.72644,0.65512,0.7046,0.65033,0.51518,0.28971,0.12064,0.04851,0.45422,0.77587,0.6569,0.72525
0.70052,0.54524,0.5801,0.53549,0.39108,0.15384,0.04398,0,0.41811,0.68567,0.75649,0.8238
0.57907,0.38863,0.34403,0.27411,0.15816,0.05624,0,0.03828,0.47705,0.59178,0.94582,0.85831
0.58872,0.61888,0.52975,0.48271,0.23549,0.02918,0,0.2517,0.44114,0.78927,0.82323,0.77429
0,0.08132,0.01667,0.00306,0,0,0,0,NA,NA,NA,NA
0.6746,0.69764,0.61424,0.52745,0.3679,0.10306,0.00119,0,0.27909,0.71672,0.75739,0.72738
