0.86424,1.1272,0.78261,0.87816,0.94776,0.83578,0.90819,0.87485,0.82909,0.72036,0.86571,0.80935
1.06582,1.13711,0.76858,0.96163,0.87381,0.82854,0.8391,0.81033,0.80052,0.72493,0.89413,0.7853
0.92638,1.01244,0.79003,0.88352,0.83718,0.84304,0.80153,0.78025,0.72199,0.70994,0.79231,0.83168
1.18607,1.30453,0.82405,1.05297,0.97462,0.84968,0.93832,0.85973,0.91333,0.81667,0.91521,0.81859
1.11448,1.05224,0.76569,0.94221,0.84455,0.81698,0.82695,0.83357,0.76251,0.75736,0.90323,0.76969
0.98111,0.98602,0.80561,0.97305,0.91123,0.8441,0.88627,0.81981,0.75413,0.75552,0.87156,0.83304
1.22488,1.30578,0.80923,1.11592,1.0455,0.89132,0.9308,0.88551,0.92499,0.77892,0.90169,0.85079
1.18473,1.23292,0.81414,1.02434,0.91628,0.8499,0.92804,0.90328,0.83033,0.84524,1.00162,0.76109
1.09498,1.03284,0.78556,0.96738,0.87277,0.84021,0.88192,0.87739,0.77146,0.79746,0.9633,0.76496
0.91178,0.92891,0.76395,0.90713,0.90161,0.85591,0.86385,0.85958,0.74494,0.71568,0.91848,0.80016
1.2287,1.30289,0.81215,1.21691,1.11248,0.92608,1.01624,0.91125,0.9802,0.83184,0.91984,0.91771
1.16622,1.17576,0.77818,1.05861,0.93877,0.81706,0.85807,0.89475,0.83852,0.77706,0.98689,0.78925
1.10134,1.1357,0.79067,0.94827,0.92058,0.884,0.93431,0.88079,0.84105,0.83192,1.03437,0.7509
0.99577,0.92983,0.76562,0.91184,0.88373,0.83789,0.83727,0.86607,0.73842,0.74144,0.94837,0.77944
0.8946,0.93698,0.79243,0.91462,0.93873,0.87513,0.84811,0.88367,0.759,0.73389,0.91059,0.80466
1.14374,1.4269,0.76819,1.18737,1.1332,0.89492,1.05679,0.9205,0.99153,0.81717,0.90505,0.93247
1.17322,1.27454,0.79155,1.13278,0.99949,0.86547,0.92138,0.90937,0.88582,0.80428,0.97861,0.84053
1.0977,1.07705,0.75953,0.96481,0.88648,0.78303,0.82207,0.88209,0.79227,0.76645,1.017,0.77143
1.03201,0.98822,0.76616,0.91432,0.91639,0.8756,0.90168,0.84518,0.78239,0.77284,0.99191,0.75524
0.98289,0.89533,0.78156,0.92011,0.89902,0.83211,0.81753,0.85948,0.71275,0.72987,0.9394,0.79021
0.94894,0.90594,0.83375,0.94783,0.93876,0.85305,0.85137,0.90699,0.75272,0.76444,0.95619,0.80108
1.1649,1.35496,0.76263,1.12872,1.02426,0.90271,0.96031,0.84011,0.92318,0.7677,0.94464,0.87409
1.15856,1.28082,0.76586,1.14094,1.00945,0.84404,0.97187,0.86851,0.89622,0.77968,0.94093,0.8431
1.10455,1.1631,0.78916,1.02823,0.92493,0.82178,0.90294,0.88546,0.82134,0.78856,1.01752,0.80522
1.03567,0.94363,0.72571,0.91215,0.8722,0.77239,0.82787,0.88451,0.76068,0.75236,1.01318,0.76481
