# CanESM5 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.51,2.33,3.71,2.28,4.08,2.85,3.91,3.25,4.99,3.28,5.80,3.68,5.74,3.06,5.89,2.60,6.91,2.03,5.97,2.68,4.52,2.42,3.99,2.23
Daily maximum near surface air temperature,tasmax,∆°C,3.45,2.67,3.77,3.28,4.29,4.37,4.07,4.47,4.93,4.31,5.80,4.68,5.27,3.90,5.14,3.34,6.68,2.70,6.02,3.54,4.55,3.12,4.06,2.59
Daily minimum near surface air temperature,tasmin,∆°C,3.55,2.67,3.70,2.38,3.88,1.99,3.78,2.50,4.93,2.38,5.65,3.01,5.88,2.64,6.29,2.58,6.79,2.26,5.87,2.65,4.61,2.46,4.01,2.58
Precipitation,pr,fraction,1.10,1.39,0.73,0.91,0.70,0.80,0.73,0.91,0.79,0.95,0.53,0.70,0.54,0.71,0.69,0.93,0.63,0.69,0.70,0.82,0.52,0.58,0.59,0.68
Surface downwelling shortwave radiation,rsds,∆W/m²,-3.78,30.02,0.13,33.99,2.47,32.72,2.25,35.85,-0.02,35.49,3.42,24.62,0.11,20.79,-3.59,17.56,-4.63,21.86,1.51,26.92,5.15,23.05,1.52,23.05
Total cloud cover percentage,clt,∆%,2.14,30.48,-2.13,30.89,-3.10,26.80,-8.31,20.95,-5.12,15.71,-9.40,14.54,-6.12,12.65,-3.57,11.40,-4.73,20.05,-4.69,21.81,-10.88,24.92,-4.59,28.62
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001548,0.001478,0.001241,0.001291,0.001086,0.001231,0.000847,0.001263,0.001496,0.001425,0.001996,0.002263,0.002663,0.002468,0.003417,0.001973,0.003796,0.001958,0.003072,0.001904,0.002082,0.001564,0.001693,0.001393
Air pressure at mean sea level,psl,∆hPa,-3.00,8.45,-1.76,8.41,-1.41,6.99,-1.02,3.97,-1.61,2.57,-2.27,2.12,-2.75,2.00,-4.41,1.89,-3.42,2.38,-1.75,3.13,-0.35,5.31,-0.43,8.05
Near surface wind speed,sfcWind,fraction,0.8858,0.4410,0.9177,0.4436,0.9173,0.3996,0.9658,0.3978,0.9441,0.3792,0.9331,0.3597,1.0235,0.3911,1.0263,0.4148,0.9071,0.3618,0.8638,0.3585,0.8458,0.4027,0.8807,0.4607
