# MIROC_ES2L ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.48,3.19,1.15,2.59,0.76,2.38,1.64,2.39,2.26,3.58,2.74,3.78,2.17,2.42,1.27,2.35,2.15,3.11,1.70,2.38,1.71,2.64,1.37,3.22
Daily maximum near surface air temperature,tasmax,∆°C,0.85,3.01,1.34,2.98,0.76,3.15,2.13,3.24,2.73,4.80,3.25,4.54,2.50,2.91,1.35,2.82,2.52,3.81,1.98,3.24,2.22,3.16,1.48,2.98
Daily minimum near surface air temperature,tasmin,∆°C,0.21,3.68,1.05,3.07,0.79,2.34,1.18,1.91,1.74,2.43,2.16,2.94,1.81,1.95,1.24,1.91,1.82,2.60,1.44,1.98,1.36,2.76,1.34,3.83
Precipitation,pr,fraction,0.85,0.70,1.05,0.93,1.08,0.86,0.79,0.65,0.85,0.92,0.36,0.48,0.47,0.62,0.73,0.79,0.53,0.58,0.88,0.80,0.77,0.69,0.99,0.90
Surface downwelling shortwave radiation,rsds,∆W/m²,11.17,22.63,2.66,33.80,-0.83,36.09,9.81,34.00,9.77,39.89,6.12,26.64,-5.52,28.80,0.71,29.23,8.34,22.87,3.00,24.50,3.41,23.88,2.26,23.88
Total cloud cover percentage,clt,∆%,-7.91,20.55,-0.59,24.68,1.90,19.50,-4.00,16.44,-3.85,19.60,-1.38,11.81,1.09,10.57,-0.62,11.08,-4.79,11.06,-2.42,16.76,-3.07,21.81,-0.97,24.45
Snow depth,snd,fraction,0.99,1.00,0.04,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00
Near surface specific humidity,huss,∆kg/kg,-0.000017,0.001626,0.000409,0.001652,0.000332,0.001491,0.000271,0.001355,0.000467,0.001410,-0.000161,0.001719,0.000127,0.001477,0.000550,0.001252,0.000332,0.001527,0.000410,0.001632,0.000447,0.001604,0.000513,0.001802
Air pressure at mean sea level,psl,∆hPa,1.94,8.29,-0.29,8.65,-0.59,6.77,0.85,3.91,-0.08,2.56,-0.16,2.25,0.13,2.06,-0.41,1.82,-0.21,2.32,-0.02,3.70,0.28,6.10,-1.03,8.14
Near surface wind speed,sfcWind,fraction,0.9522,0.4621,0.9691,0.4613,1.0086,0.4170,1.0487,0.3550,0.9969,0.3611,1.0210,0.4005,0.9793,0.3525,1.0226,0.4041,1.0232,0.3849,0.9458,0.3514,0.9330,0.4541,1.0119,0.5439
