# BCC_CSM2_MR ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.65,2.26,0.94,2.44,1.27,3.74,1.79,3.65,1.55,3.06,1.57,3.83,1.99,3.94,1.34,2.64,1.37,2.79,0.98,2.59,0.58,2.56,1.07,2.76
Daily maximum near surface air temperature,tasmax,∆°C,1.00,2.49,1.23,3.03,1.40,4.80,2.24,4.91,1.74,3.97,1.67,4.58,2.17,4.96,1.34,3.23,1.48,3.70,0.89,3.50,0.84,3.02,1.33,2.86
Daily minimum near surface air temperature,tasmin,∆°C,0.48,2.45,0.80,2.53,1.26,3.26,1.35,2.76,1.34,2.51,1.39,3.31,1.57,3.14,1.27,2.42,1.18,2.58,1.04,2.74,0.55,2.97,0.90,3.13
Precipitation,pr,fraction,0.76,0.87,0.90,0.95,1.03,1.05,0.67,0.73,0.78,0.89,1.03,1.23,0.71,0.85,0.94,0.99,1.03,1.18,1.15,1.30,0.94,1.07,1.03,1.20
Surface downwelling shortwave radiation,rsds,∆W/m²,7.39,26.43,8.13,30.53,5.05,36.06,17.14,42.02,14.63,32.15,7.24,20.69,8.95,16.82,3.82,11.95,5.53,21.62,3.66,24.31,4.96,23.83,3.08,23.83
Total cloud cover percentage,clt,∆%,-4.29,19.26,-5.78,24.11,-0.07,21.00,-3.53,19.95,-2.73,14.92,0.34,11.41,-0.75,10.54,0.61,12.47,-0.83,15.55,-2.09,17.51,-1.93,20.49,-1.65,21.26
Snow depth,snd,fraction,1.41,111.48,1.35,31333976857640960.00,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08,1.00
Near surface specific humidity,huss,∆kg/kg,0.000136,0.001373,0.000131,0.001266,0.000350,0.001387,0.000208,0.001299,0.000281,0.001262,0.000582,0.001010,0.000372,0.001441,0.000754,0.001427,0.000173,0.001594,0.000411,0.001563,0.000105,0.001530,0.000442,0.001527
Air pressure at mean sea level,psl,∆hPa,1.61,10.75,0.77,9.96,-0.31,6.95,0.17,6.01,0.13,3.78,-0.44,2.67,-0.41,2.55,-0.24,2.60,-0.54,2.85,0.29,5.01,0.72,6.78,0.99,9.80
Near surface wind speed,sfcWind,fraction,0.9683,0.4167,1.0230,0.4462,0.9753,0.3847,0.9771,0.3686,1.0330,0.3753,0.9944,0.3418,0.9961,0.3454,1.0195,0.3767,0.9848,0.3879,1.0580,0.3849,0.9505,0.3637,0.9627,0.3953
