# EC_Earth3_Veg_LR ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.09,2.23,2.20,2.41,2.39,2.97,3.57,3.74,4.79,4.06,4.69,4.87,3.75,3.08,3.59,2.67,4.27,2.85,4.38,3.27,3.39,2.57,2.35,1.86
Daily maximum near surface air temperature,tasmax,∆°C,2.61,2.34,2.29,2.70,2.56,4.12,4.05,5.02,5.35,5.09,4.68,5.63,3.84,3.53,3.74,2.90,4.61,3.40,4.60,4.05,3.70,3.53,2.69,2.28
Daily minimum near surface air temperature,tasmin,∆°C,1.74,2.59,2.12,2.98,2.26,2.22,3.09,2.53,4.11,2.79,4.69,4.01,3.67,2.57,3.46,2.38,3.99,2.42,4.05,2.60,3.12,2.43,2.19,2.04
Precipitation,pr,fraction,0.83,0.95,1.05,1.12,0.91,0.93,0.66,0.72,0.54,0.64,1.07,1.20,0.26,0.43,0.37,0.67,0.34,0.47,0.60,0.61,0.73,0.77,0.86,0.91
Surface downwelling shortwave radiation,rsds,∆W/m²,7.43,20.22,6.27,34.87,6.10,33.60,15.79,46.34,21.36,43.28,5.64,28.68,8.25,13.80,4.17,12.50,9.10,17.78,8.60,21.56,6.59,22.26,5.79,22.26
Total cloud cover percentage,clt,∆%,-5.62,25.98,-0.56,33.52,-1.34,25.19,-6.64,27.13,-11.50,20.75,-4.80,15.51,-9.38,18.35,-8.17,15.21,-8.91,15.50,-7.17,20.52,-6.26,24.64,-8.11,24.01
Snow depth,snd,fraction,0.17,0.37,0.08,0.98,0.18,0.96,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,0.08,0.19
Near surface specific humidity,huss,∆kg/kg,0.000643,0.001191,0.000687,0.001589,0.000572,0.001445,0.000489,0.001663,0.000361,0.001823,0.000826,0.001781,0.000756,0.001530,0.000965,0.001271,0.000807,0.001974,0.001077,0.002103,0.001054,0.001724,0.000703,0.001073
Air pressure at mean sea level,psl,∆hPa,1.47,8.70,-0.11,9.75,0.58,6.45,0.61,5.62,0.17,3.48,-0.96,1.76,-0.96,1.60,-1.18,1.71,-0.35,2.13,0.52,3.67,1.29,5.92,1.20,7.05
Near surface wind speed,sfcWind,fraction,0.9124,0.4119,0.9887,0.4360,0.9665,0.4111,0.9904,0.3810,0.9768,0.3280,0.9596,0.3250,1.0193,0.2656,1.0111,0.2758,1.0098,0.3091,0.9129,0.3408,0.9089,0.3680,0.9331,0.3791
