# GISS_E2_1_H ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.79,1.92,1.05,2.44,1.93,2.29,1.70,3.35,1.97,3.37,2.94,2.93,2.69,2.67,3.26,2.88,2.81,2.87,2.61,2.57,2.28,2.62,1.74,2.03
Daily maximum near surface air temperature,tasmax,∆°C,1.90,1.98,0.95,2.49,1.91,2.84,1.56,3.77,1.86,3.62,2.91,3.22,2.62,2.82,3.25,3.09,2.60,3.11,2.31,2.84,2.17,2.70,1.63,1.89
Daily minimum near surface air temperature,tasmin,∆°C,1.83,2.38,1.10,3.00,1.94,2.33,1.65,3.16,2.08,3.31,2.99,2.87,2.75,2.81,3.29,2.85,3.02,2.84,2.92,2.57,2.44,2.83,1.91,2.44
Precipitation,pr,fraction,0.97,0.93,1.05,0.99,0.77,0.77,0.93,0.97,0.83,0.95,1.12,1.32,0.70,0.88,0.51,0.60,0.97,1.12,0.73,0.77,1.00,0.91,0.98,0.91
Surface downwelling shortwave radiation,rsds,∆W/m²,4.44,24.22,0.08,35.60,7.01,39.75,7.28,39.54,1.04,30.99,0.84,30.63,0.83,24.38,6.16,21.55,1.89,33.61,-1.60,31.55,0.85,20.24,-1.57,20.24
Total cloud cover percentage,clt,∆%,-4.31,21.16,-2.63,26.38,-6.13,22.90,-7.60,20.77,-4.50,15.15,-4.21,14.96,-2.41,13.55,-5.91,13.72,-3.94,20.32,-3.91,23.59,-1.85,18.53,0.98,18.80
Snow depth,snd,fraction,0.04,0.93,0.98,1.05,0.92,0.94,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,1.00,0.91,0.91
Near surface specific humidity,huss,∆kg/kg,0.000790,0.001258,0.000567,0.001643,0.000677,0.001203,0.000617,0.001215,0.000705,0.001393,0.001285,0.001528,0.001219,0.001658,0.001095,0.001625,0.001818,0.001995,0.001435,0.001719,0.001209,0.001551,0.000890,0.001429
Air pressure at mean sea level,psl,∆hPa,-0.28,7.72,-0.56,7.58,0.66,6.50,-0.29,4.50,-0.44,2.65,-0.86,2.20,-1.24,2.04,-1.08,2.06,-0.80,2.44,0.17,4.21,-0.36,5.52,-0.92,6.45
Near surface wind speed,sfcWind,fraction,0.9864,0.4039,0.9430,0.3911,0.9913,0.3959,1.0295,0.3831,1.0027,0.3725,0.9504,0.3513,0.9796,0.3259,0.9967,0.3400,0.9768,0.4091,1.0517,0.4184,1.0556,0.4260,0.9913,0.3930
