# CMCC_ESM2 ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.28,1.97,1.76,2.30,1.31,2.98,1.30,4.14,1.67,4.39,1.49,4.31,1.50,2.84,1.65,2.67,1.71,2.54,1.39,3.12,2.09,2.51,1.63,2.17
Daily maximum near surface air temperature,tasmax,∆°C,1.19,2.11,1.82,3.05,1.30,3.89,1.44,5.01,1.80,5.08,1.58,5.02,1.69,3.25,1.83,2.97,1.73,2.78,1.41,3.58,2.36,2.73,1.45,2.16
Daily minimum near surface air temperature,tasmin,∆°C,1.30,2.15,1.71,2.33,1.36,2.59,1.28,3.55,1.59,3.71,1.46,3.62,1.31,2.47,1.52,2.41,1.70,2.42,1.43,2.88,1.91,2.67,1.68,2.64
Precipitation,pr,fraction,1.04,1.33,1.46,2.10,0.87,0.99,0.83,0.84,1.08,1.20,0.92,1.18,0.52,0.89,0.44,0.86,1.26,1.50,1.01,1.24,0.54,0.63,1.65,2.03
Surface downwelling shortwave radiation,rsds,∆W/m²,1.91,19.32,1.07,35.27,1.78,39.91,4.22,38.16,0.77,40.31,1.19,39.72,5.05,18.67,1.82,16.56,0.62,19.03,1.29,26.09,6.19,21.91,0.35,21.91
Total cloud cover percentage,clt,∆%,-0.59,23.65,2.46,27.13,0.85,28.47,-2.34,19.65,-0.81,19.04,2.46,18.70,-0.76,9.79,-0.66,9.62,-2.81,15.05,-1.70,22.46,-3.40,24.73,-1.12,28.71
Snow depth,snd,fraction,0.80,0.92,2.03,1.00,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.00,0.41,1.29
Near surface specific humidity,huss,∆kg/kg,0.000374,0.001233,0.000641,0.001585,0.000430,0.002006,0.000469,0.001892,0.000589,0.001668,0.000521,0.002071,0.000433,0.002137,0.000937,0.001822,0.000950,0.001869,0.000781,0.001907,0.000616,0.001657,0.000653,0.001521
Air pressure at mean sea level,psl,∆hPa,-0.04,5.38,-0.42,8.41,-0.31,6.13,-0.68,3.63,-0.32,2.19,0.03,1.29,0.00,1.63,-0.34,2.03,-0.37,1.82,-0.02,3.43,1.65,6.02,-1.12,7.27
Near surface wind speed,sfcWind,fraction,1.0280,0.4074,0.9452,0.3889,1.0299,0.4185,1.0171,0.3454,1.0001,0.3210,1.0000,0.3334,0.9957,0.3079,0.9867,0.3200,0.9840,0.3248,0.9927,0.3844,0.9126,0.3668,1.0258,0.4241
