# EC_Earth3 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.85,2.16,2.49,2.67,2.20,3.11,3.09,4.09,4.28,5.11,4.97,4.20,4.26,3.09,3.40,2.92,3.41,3.00,3.35,3.28,2.89,3.00,2.57,2.45
Daily maximum near surface air temperature,tasmax,∆°C,1.82,2.28,2.52,3.47,2.44,4.41,3.37,5.44,4.86,6.32,5.52,4.93,4.62,3.56,3.54,3.21,3.47,3.60,3.45,4.01,3.19,3.97,2.68,2.78
Daily minimum near surface air temperature,tasmin,∆°C,1.83,2.76,2.50,2.81,1.95,2.30,2.82,2.83,3.54,3.82,4.41,3.63,3.92,2.66,3.31,2.64,3.51,2.61,3.29,2.80,2.67,2.61,2.56,2.71
Precipitation,pr,fraction,1.36,1.59,1.27,1.40,0.84,0.90,1.02,1.08,0.56,0.65,0.47,0.57,0.13,0.25,0.54,0.93,0.70,1.02,0.83,0.89,0.72,0.80,0.76,0.80
Surface downwelling shortwave radiation,rsds,∆W/m²,1.73,23.06,0.69,30.97,11.65,40.28,13.13,43.54,22.28,42.02,20.25,29.36,7.61,17.61,5.46,12.24,1.24,19.40,6.60,26.76,6.37,19.98,4.79,19.98
Total cloud cover percentage,clt,∆%,-1.36,26.62,1.24,31.33,-2.72,27.17,-5.87,21.49,-9.35,19.58,-6.56,18.56,-3.36,15.33,-4.93,16.03,-4.05,18.55,-6.88,23.14,-6.94,23.54,-2.03,23.92
Snow depth,snd,fraction,0.07,0.25,0.21,0.56,0.00,1.00,0.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.46,1.00,0.10,0.47
Near surface specific humidity,huss,∆kg/kg,0.000681,0.001193,0.000815,0.001488,0.000785,0.001657,0.000820,0.001582,0.000404,0.001675,0.000424,0.001905,0.000542,0.001649,0.000934,0.001353,0.001478,0.002061,0.001535,0.002150,0.000903,0.001789,0.000926,0.001355
Air pressure at mean sea level,psl,∆hPa,-1.23,8.39,-0.35,9.19,0.97,6.84,0.28,3.64,-0.18,2.60,-0.48,1.62,-0.69,1.83,-0.89,1.97,-0.24,2.04,1.01,4.12,1.01,5.17,-0.49,6.35
Near surface wind speed,sfcWind,fraction,0.9942,0.4695,1.0055,0.4162,0.9057,0.3908,0.9678,0.3679,0.9483,0.3528,1.0355,0.3663,1.0305,0.3006,0.9858,0.2559,0.9756,0.3332,0.9064,0.3370,0.9439,0.3767,0.9540,0.4107
