# CanESM5_CanOE ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,4.19,2.24,4.16,1.88,4.66,3.25,4.95,3.69,6.65,4.26,7.47,3.52,7.13,3.07,7.16,2.86,7.70,2.93,7.63,2.95,5.84,2.55,4.63,2.31
Daily maximum near surface air temperature,tasmax,∆°C,4.36,2.80,4.60,2.77,5.17,4.49,5.17,5.05,7.19,5.36,7.49,4.22,6.77,3.94,6.45,3.48,7.27,3.93,8.20,3.83,6.46,3.37,4.95,2.20
Daily minimum near surface air temperature,tasmin,∆°C,4.11,2.41,3.84,1.89,4.18,2.72,4.71,2.57,6.19,3.52,7.32,3.17,7.36,2.67,7.46,2.86,7.97,2.63,7.30,2.89,5.63,2.61,4.64,2.85
Precipitation,pr,fraction,0.88,1.04,0.64,0.82,0.81,1.06,0.87,1.07,0.58,0.68,0.74,0.97,0.70,0.92,0.35,0.49,0.82,0.99,0.42,0.56,0.49,0.50,0.56,0.57
Surface downwelling shortwave radiation,rsds,∆W/m²,2.12,22.90,6.13,29.63,7.38,36.12,6.31,35.98,9.31,36.92,2.07,28.17,-1.07,23.34,-3.13,15.49,-2.59,27.71,6.26,28.23,12.47,21.67,7.59,21.67
Total cloud cover percentage,clt,∆%,-6.11,25.96,-7.51,25.99,-5.59,25.82,-6.39,21.70,-6.77,16.41,-7.73,12.49,-5.13,10.28,-3.88,13.11,-7.70,19.44,-11.27,24.50,-14.19,24.37,-10.58,29.05
Snow depth,snd,fraction,0.05,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05,1.00
Near surface specific humidity,huss,∆kg/kg,0.001575,0.001158,0.001147,0.001244,0.001190,0.001449,0.001288,0.001382,0.001943,0.001648,0.003094,0.002364,0.003912,0.002665,0.004299,0.002163,0.004672,0.002546,0.003713,0.002008,0.002433,0.001520,0.001921,0.001515
Air pressure at mean sea level,psl,∆hPa,-1.21,6.78,-1.54,6.03,-2.23,6.10,-1.54,4.33,-1.50,3.15,-2.47,2.26,-3.53,1.88,-4.78,2.06,-3.15,2.54,-1.13,4.05,-0.65,5.01,-0.43,6.57
Near surface wind speed,sfcWind,fraction,0.9794,0.4846,0.9445,0.4624,0.8888,0.4048,0.9410,0.3878,0.8939,0.3640,0.9157,0.3577,0.9565,0.3851,1.0140,0.3632,0.9482,0.3794,0.8052,0.3290,0.8008,0.3811,0.8634,0.4079
