# CMCC_ESM2 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.64,2.46,2.27,2.41,2.04,3.32,2.13,4.15,2.63,4.57,2.20,3.91,2.36,3.04,2.12,2.68,2.89,2.68,2.17,3.04,2.20,3.03,1.86,2.31
Daily maximum near surface air temperature,tasmax,∆°C,1.49,2.46,2.48,2.93,2.20,4.26,2.40,4.90,2.78,5.18,2.27,4.32,2.58,3.33,2.29,2.91,3.02,2.85,2.13,3.36,2.20,3.32,1.79,2.51
Daily minimum near surface air temperature,tasmin,∆°C,1.75,2.65,2.15,2.49,1.95,2.89,1.95,3.59,2.46,4.04,2.16,3.49,2.22,2.81,2.03,2.51,2.77,2.64,2.16,2.91,2.18,3.10,1.88,2.60
Precipitation,pr,fraction,1.10,1.38,0.68,0.92,0.88,1.07,0.70,0.74,0.73,0.75,0.46,0.58,0.59,0.97,0.37,0.66,0.74,0.92,0.72,0.92,0.63,0.68,1.04,1.20
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.56,22.33,2.18,30.29,3.31,40.94,6.13,39.83,1.58,41.02,7.63,28.58,-0.22,17.53,0.23,13.63,0.62,17.27,5.01,24.89,3.72,20.45,2.41,20.45
Total cloud cover percentage,clt,∆%,0.61,25.44,2.26,25.18,1.72,27.23,-2.73,19.99,-3.48,17.96,-4.63,13.95,-0.52,9.39,-1.25,8.96,-3.58,14.45,-7.03,21.73,-3.55,24.48,-3.15,30.39
Snow depth,snd,fraction,0.80,0.88,0.92,1.00,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.00,0.28,1.00
Near surface specific humidity,huss,∆kg/kg,0.000643,0.001478,0.000736,0.001511,0.000474,0.001936,0.000162,0.001714,0.000420,0.001811,0.000328,0.001967,0.000970,0.002093,0.001201,0.001978,0.001054,0.002206,0.000374,0.001778,0.000475,0.001631,0.000675,0.001520
Air pressure at mean sea level,psl,∆hPa,-0.80,6.18,0.34,7.21,0.08,6.02,-0.31,3.35,-0.25,2.03,0.16,1.42,-0.54,1.74,-0.75,2.13,-0.57,1.79,0.26,3.01,0.93,5.46,-0.49,6.19
Near surface wind speed,sfcWind,fraction,1.0318,0.3985,0.9457,0.3905,0.9947,0.4126,1.0343,0.3323,1.0066,0.3255,1.0593,0.3681,1.0212,0.3212,1.0160,0.3243,0.9795,0.3354,0.9947,0.3845,0.9664,0.3523,0.9974,0.3856
