# MRI_ESM2_0 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.75,2.59,1.81,2.84,1.77,3.12,1.58,2.94,3.17,3.76,4.53,3.68,4.42,4.11,4.82,3.18,4.05,3.20,2.57,3.46,2.64,2.64,2.28,2.59
Daily maximum near surface air temperature,tasmax,∆°C,2.00,2.68,1.69,3.40,1.83,4.03,1.76,3.57,3.91,4.84,5.02,4.75,4.72,5.24,5.39,4.01,4.62,3.95,2.69,4.71,2.87,3.25,2.35,2.57
Daily minimum near surface air temperature,tasmin,∆°C,1.58,2.81,1.91,2.95,1.67,2.96,1.41,2.86,2.45,2.88,4.12,2.76,4.23,3.20,4.23,2.46,3.47,2.72,2.47,2.87,2.54,2.55,2.24,2.79
Precipitation,pr,fraction,0.97,1.06,0.90,1.09,0.96,1.16,0.69,0.74,0.43,0.48,0.66,0.79,0.87,1.07,0.33,0.44,0.35,0.43,0.83,0.91,0.67,0.69,1.02,1.13
Surface downwelling shortwave radiation,rsds,∆W/m²,3.50,28.98,-7.76,39.52,-5.13,48.98,-1.02,46.41,16.06,45.76,1.39,32.71,-5.55,22.60,2.70,19.45,7.45,23.13,-2.63,31.06,3.52,24.57,-0.46,24.57
Total cloud cover percentage,clt,∆%,-1.79,29.69,7.71,35.13,2.89,30.95,-4.88,23.99,-9.24,20.59,-4.07,18.31,-3.43,14.26,-5.19,14.02,-7.55,21.09,-2.10,23.80,3.66,23.41,3.56,27.07
Snow depth,snd,fraction,0.96,1.00,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00
Near surface specific humidity,huss,∆kg/kg,0.000497,0.001583,0.000704,0.001459,0.000456,0.001538,0.000152,0.001507,0.000218,0.001632,0.000959,0.002171,0.001392,0.002656,0.000770,0.001891,0.000510,0.001619,0.000982,0.001890,0.001002,0.001368,0.000808,0.001649
Air pressure at mean sea level,psl,∆hPa,0.58,10.67,-2.32,11.59,-0.88,9.66,0.22,4.74,0.12,4.26,-1.72,2.15,-1.63,1.76,-1.65,2.12,-0.77,3.07,-0.27,5.04,0.21,6.65,0.28,9.34
Near surface wind speed,sfcWind,fraction,1.0018,0.4311,1.0108,0.4590,1.0640,0.4431,1.0528,0.3772,0.9918,0.3384,1.0184,0.3656,1.0366,0.4341,1.0192,0.3469,0.9766,0.2985,0.9740,0.3749,0.9225,0.3765,0.9910,0.4490
