# CAS_ESM2_0 ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.47,1.74,3.31,1.81,2.89,2.01,3.43,2.34,4.32,2.09,3.64,2.04,3.70,1.85,4.01,1.83,4.31,2.46,3.96,1.94,3.55,1.58,3.27,1.63
Daily maximum near surface air temperature,tasmax,∆°C,3.52,1.85,3.41,1.88,2.96,2.13,3.52,2.50,4.45,2.20,3.67,2.04,3.79,1.84,3.94,1.82,4.29,2.53,4.04,2.12,3.54,1.69,3.29,1.71
Daily minimum near surface air temperature,tasmin,∆°C,3.44,1.69,3.24,1.79,2.83,1.93,3.32,2.17,4.19,1.98,3.65,2.06,3.67,1.92,4.11,1.91,4.33,2.36,3.89,1.79,3.55,1.57,3.26,1.64
Precipitation,pr,fraction,1.05,1.11,0.75,0.78,0.86,0.79,0.74,0.68,0.42,0.43,0.44,0.64,0.39,0.61,0.38,0.57,0.65,0.75,0.64,0.70,0.82,0.76,0.68,0.69
Surface downwelling shortwave radiation,rsds,∆W/m²,2.93,28.03,11.85,38.22,12.30,41.60,8.54,36.19,7.80,27.56,0.73,23.52,0.47,19.95,-3.55,18.22,0.80,25.75,8.81,29.02,3.95,25.10,6.58,25.10
Total cloud cover percentage,clt,∆%,-0.95,22.42,-3.86,25.53,-5.27,23.26,-2.77,20.29,-2.46,13.82,-1.50,12.12,-2.77,7.70,-0.94,11.36,-1.15,15.01,-3.67,18.08,-3.90,17.19,-5.88,20.79
Snow depth,snd,fraction,1.00,1.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001835,0.001236,0.001653,0.001595,0.001429,0.001412,0.001848,0.001561,0.002631,0.001431,0.002944,0.001987,0.003464,0.002175,0.004267,0.002491,0.003869,0.002593,0.002748,0.001710,0.002320,0.001166,0.001646,0.001241
Air pressure at mean sea level,psl,∆hPa,-0.34,7.47,1.68,8.82,0.41,4.50,0.51,3.24,-0.08,1.67,-0.45,1.66,-0.31,1.61,-0.56,1.33,-0.63,1.87,0.55,3.28,0.85,5.48,1.65,7.10
Near surface wind speed,sfcWind,fraction,1.0369,0.4551,0.9242,0.4543,0.9513,0.4103,1.0104,0.4364,1.0473,0.4074,0.9708,0.3681,1.0049,0.4165,0.9996,0.4035,0.9585,0.4152,0.9567,0.4171,0.9193,0.4158,0.9302,0.4177
