# CanESM5_1 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.66,2.14,3.22,2.17,3.15,3.39,3.69,3.05,5.23,3.40,6.48,3.61,5.46,2.98,5.66,2.07,6.40,2.53,6.33,2.70,5.06,2.32,4.20,1.99
Daily maximum near surface air temperature,tasmax,∆°C,3.48,2.81,3.03,2.98,2.38,4.65,3.73,4.16,5.42,4.50,6.63,4.37,4.68,3.86,4.83,2.80,6.23,3.42,6.70,3.48,5.58,3.04,4.08,2.22
Daily minimum near surface air temperature,tasmin,∆°C,3.70,2.44,3.37,2.29,3.74,2.79,3.59,2.42,4.95,2.53,6.31,3.04,6.13,2.51,6.08,1.98,6.21,2.24,6.10,2.63,4.65,2.24,4.30,2.44
Precipitation,pr,fraction,1.49,1.75,1.35,1.92,2.46,3.32,1.09,1.30,0.51,0.61,0.93,1.13,1.12,1.45,0.68,0.88,0.63,0.72,0.50,0.54,0.51,0.55,0.94,1.07
Surface downwelling shortwave radiation,rsds,∆W/m²,-3.60,26.25,-1.29,30.71,-15.09,39.20,3.28,40.46,4.22,31.26,6.63,28.47,-1.41,19.90,-10.32,20.18,3.67,21.82,5.18,25.08,6.83,20.91,-0.00,20.91
Total cloud cover percentage,clt,∆%,2.62,28.42,0.31,28.77,6.49,28.15,-1.37,21.28,-10.98,15.89,-12.08,12.68,-7.67,12.08,-2.70,11.41,-10.35,17.70,-10.82,21.26,-10.34,24.08,-1.10,26.85
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001666,0.001300,0.001231,0.001203,0.001418,0.001396,0.001079,0.001448,0.001209,0.001179,0.002269,0.001990,0.003308,0.002407,0.003703,0.001912,0.003353,0.002206,0.002965,0.001894,0.002074,0.001431,0.001842,0.001447
Air pressure at mean sea level,psl,∆hPa,-2.95,6.92,-3.07,6.96,-4.51,6.29,-1.21,4.27,-0.73,2.87,-1.93,1.97,-2.72,1.72,-4.45,2.06,-2.43,2.55,-0.39,3.53,-0.68,5.36,-2.21,7.06
Near surface wind speed,sfcWind,fraction,0.9426,0.5065,0.9593,0.4444,1.0336,0.4584,0.8917,0.3518,0.9214,0.3600,0.8806,0.3619,0.9835,0.3644,0.9670,0.3951,0.9305,0.4032,0.8497,0.3784,0.8339,0.3984,0.9031,0.4756
