# CNRM_CM6_1 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.80,2.36,0.53,2.38,0.85,2.38,1.00,4.28,1.82,3.10,2.08,3.44,1.76,2.62,2.06,2.23,2.06,2.67,1.26,3.30,0.69,2.28,0.75,2.58
Daily maximum near surface air temperature,tasmax,∆°C,0.92,2.35,0.59,2.95,1.09,3.45,1.46,5.74,2.02,3.74,2.17,4.26,1.98,3.06,2.21,2.75,2.29,3.60,1.31,4.25,1.17,2.61,0.65,2.27
Daily minimum near surface air temperature,tasmin,∆°C,0.76,2.95,0.42,2.54,0.63,2.24,0.49,3.21,1.68,2.79,2.10,2.80,1.60,2.45,2.01,2.04,1.88,2.12,1.21,2.87,0.33,2.66,0.70,3.12
Precipitation,pr,fraction,0.97,0.94,0.98,1.04,0.79,0.86,0.66,0.62,0.80,0.80,1.10,1.33,0.58,0.90,2.11,2.79,1.02,1.19,0.97,0.93,0.73,0.71,1.07,0.97
Surface downwelling shortwave radiation,rsds,∆W/m²,0.52,28.02,0.98,33.60,7.24,44.81,18.04,41.23,0.68,37.04,0.88,38.22,7.83,30.36,2.20,27.17,8.74,34.17,2.61,29.25,10.41,27.68,-1.24,27.68
Total cloud cover percentage,clt,∆%,3.46,29.91,3.37,24.53,-0.38,27.40,-4.69,20.73,-0.05,17.90,2.98,16.56,-2.87,17.09,-1.30,20.51,2.05,20.53,1.08,25.75,-4.35,27.11,3.05,27.27
Snow depth,snd,fraction,0.04,0.10,8.13,334.48,10.00,3270023.00,8.95,1.46,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.36,2.07,0.89,0.94,0.19,0.51
Near surface specific humidity,huss,∆kg/kg,0.000259,0.001328,0.000163,0.001273,0.000091,0.001354,-0.000343,0.001294,0.000189,0.001497,0.000628,0.001986,0.000400,0.001593,0.000740,0.001742,0.000605,0.002092,0.000507,0.001862,0.000018,0.001603,0.000282,0.001407
Air pressure at mean sea level,psl,∆hPa,0.68,9.48,0.62,8.32,1.52,8.30,0.72,4.76,0.04,3.25,-0.37,2.60,0.12,2.08,0.08,1.88,0.26,2.13,0.44,4.46,2.24,5.83,-0.40,7.47
Near surface wind speed,sfcWind,fraction,1.0318,0.4797,0.9985,0.5058,0.9842,0.4425,1.0057,0.3997,1.0216,0.3875,1.0466,0.4042,1.0379,0.3728,0.9866,0.3219,0.9875,0.4057,0.9858,0.4098,0.9043,0.4145,1.0543,0.4871
