# GFDL_ESM4 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.99,3.29,0.86,2.44,1.21,2.91,1.90,2.82,1.61,3.38,1.94,3.45,1.50,3.09,1.81,2.33,1.70,2.57,0.97,3.10,0.76,2.64,1.24,2.57
Daily maximum near surface air temperature,tasmax,∆°C,1.15,2.91,1.24,2.75,1.59,3.45,2.34,3.31,1.83,3.98,1.99,4.07,1.40,3.41,1.74,2.51,1.71,3.01,1.10,3.92,1.02,2.87,1.16,2.14
Daily minimum near surface air temperature,tasmin,∆°C,0.86,3.74,0.50,2.53,0.90,2.90,1.50,2.57,1.37,2.71,1.94,2.74,1.66,2.81,1.86,2.27,1.64,2.26,0.83,2.53,0.56,2.84,1.23,3.16
Precipitation,pr,fraction,1.17,1.14,1.02,0.99,0.72,0.73,0.85,0.74,0.89,0.88,1.02,1.15,1.08,1.36,0.80,1.26,0.70,0.89,0.85,0.79,0.90,0.85,1.33,1.49
Surface downwelling shortwave radiation,rsds,∆W/m²,-1.03,27.22,6.07,25.86,7.66,37.97,11.52,34.91,6.91,38.26,0.62,35.86,-1.00,24.29,-2.47,25.26,3.44,25.01,4.23,26.66,4.46,24.85,-1.82,24.85
Total cloud cover percentage,clt,∆%,-1.18,31.57,-2.38,23.86,-4.47,28.40,-9.38,19.74,-3.30,19.20,-0.76,19.88,0.29,17.04,0.65,18.15,-0.60,17.94,-1.77,19.73,-1.98,22.55,3.37,26.17
Snow depth,snd,fraction,0.13,0.40,0.01,0.03,0.03,0.07,0.61,1.59,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14,0.95,0.68,3.57
Near surface specific humidity,huss,∆kg/kg,0.000399,0.001731,0.000220,0.001129,0.000221,0.001457,0.000322,0.001237,0.000269,0.001328,0.000767,0.001829,0.000822,0.001955,0.000783,0.001709,0.000479,0.001823,0.000394,0.001682,0.000101,0.001455,0.000608,0.001363
Air pressure at mean sea level,psl,∆hPa,0.24,8.05,0.76,7.33,1.08,6.98,0.91,4.35,-0.11,2.76,-0.61,2.30,-0.49,1.48,-0.92,1.40,-0.31,2.20,0.75,4.14,0.15,7.13,-0.88,8.93
Near surface wind speed,sfcWind,fraction,0.9917,0.4535,0.9985,0.4513,0.9912,0.3847,0.9581,0.3460,1.0063,0.3579,0.9805,0.3494,0.9977,0.3454,0.9960,0.3144,1.0239,0.3304,0.9487,0.3490,0.9696,0.4333,1.0281,0.5098
