# CNRM_ESM2_1 ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.81,2.83,0.84,2.85,1.37,2.44,1.80,3.20,2.33,4.68,2.73,3.94,2.05,2.57,1.83,2.34,1.74,2.84,2.38,3.22,0.80,2.73,1.07,2.53
Daily maximum near surface air temperature,tasmax,∆°C,0.92,2.64,0.70,3.27,1.73,3.31,1.95,4.26,2.44,5.81,2.72,4.34,2.15,2.95,1.87,2.66,1.48,3.71,2.52,4.11,0.41,3.10,1.19,2.58
Daily minimum near surface air temperature,tasmin,∆°C,0.77,3.56,0.90,3.28,1.11,2.66,1.77,2.64,2.21,3.82,2.88,3.82,2.07,2.46,1.94,2.37,2.14,2.29,2.39,2.93,1.08,3.25,1.13,2.95
Precipitation,pr,fraction,0.92,1.00,1.02,1.10,0.73,0.75,0.81,0.79,0.60,0.63,0.78,0.97,0.42,0.69,0.70,1.00,1.30,1.67,0.96,0.98,0.91,0.86,0.98,0.96
Surface downwelling shortwave radiation,rsds,∆W/m²,0.39,30.04,-0.81,39.57,10.46,41.87,12.77,38.33,12.76,40.40,11.25,38.64,8.76,25.42,6.41,30.85,-5.69,29.40,3.90,29.08,-2.30,26.68,1.88,26.68
Total cloud cover percentage,clt,∆%,0.78,31.86,1.27,28.79,-7.58,26.61,-1.51,21.40,-5.84,19.60,-4.70,20.01,-4.48,15.18,-7.26,15.31,2.04,19.72,-4.95,20.89,3.00,22.95,-2.41,30.40
Snow depth,snd,fraction,0.10,0.28,0.16,0.43,5.06,11.18,0.00,0.96,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.16,1.52,0.09,0.96,2.98,16.42
Near surface specific humidity,huss,∆kg/kg,0.000259,0.001565,0.000217,0.001511,0.000028,0.001428,-0.000055,0.001331,-0.000370,0.001788,0.000008,0.002364,0.000264,0.001716,0.000681,0.001743,0.001072,0.002160,0.000811,0.001786,0.000351,0.001621,0.000331,0.001442
Air pressure at mean sea level,psl,∆hPa,0.25,10.37,-0.08,10.61,2.19,7.90,0.52,4.89,0.62,3.28,-0.34,2.35,-0.61,1.50,-0.50,1.86,-0.08,2.41,1.36,4.13,0.12,6.51,1.20,8.11
Near surface wind speed,sfcWind,fraction,0.9433,0.4798,0.9703,0.4792,0.9695,0.4440,1.0448,0.4113,1.0626,0.4553,1.1097,0.4691,1.0219,0.3653,1.0243,0.3447,0.9940,0.3980,1.0060,0.4549,0.9778,0.4590,0.9880,0.4792
