# IPSL_CM6A_LR ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.19,2.16,1.45,2.28,1.32,2.54,1.71,3.04,2.70,3.19,2.07,3.89,1.49,3.36,2.92,2.37,2.54,2.40,2.30,2.44,1.70,2.15,1.04,2.16
Daily maximum near surface air temperature,tasmax,∆°C,1.88,2.49,1.84,3.27,1.86,3.71,2.39,4.18,3.41,4.26,2.38,4.89,1.62,4.01,3.31,2.64,2.87,2.89,2.59,3.28,2.18,2.92,1.27,2.44
Daily minimum near surface air temperature,tasmin,∆°C,0.84,2.49,1.20,2.18,0.86,2.06,1.01,2.12,1.91,2.31,1.83,3.07,1.44,2.94,2.60,2.32,2.32,2.22,2.15,2.07,1.37,2.26,0.88,2.51
Precipitation,pr,fraction,0.62,0.66,0.92,1.09,0.75,0.91,0.64,0.64,0.49,0.57,0.73,0.96,0.66,1.04,0.63,0.92,0.33,0.45,0.76,1.00,0.50,0.58,0.78,0.87
Surface downwelling shortwave radiation,rsds,∆W/m²,10.98,28.38,5.39,40.48,14.52,42.68,24.61,48.00,27.91,47.31,3.52,33.82,1.41,20.62,-0.57,14.78,7.77,25.10,5.03,31.43,8.10,30.72,5.58,30.72
Total cloud cover percentage,clt,∆%,-12.16,25.97,-5.32,30.64,-8.95,25.18,-12.47,24.67,-13.30,21.48,-5.04,16.72,-1.71,11.81,-1.39,7.66,-6.31,14.28,-5.36,22.65,-8.38,27.26,-6.32,28.77
Snow depth,snd,fraction,0.49,0.49,1.11,1.80,0.70,0.74,4.28,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.64,1.00,0.71,0.95
Near surface specific humidity,huss,∆kg/kg,0.000308,0.001191,0.000456,0.001240,0.000090,0.001019,-0.000048,0.000916,0.000111,0.001073,0.000319,0.001558,0.000319,0.001895,0.000856,0.001624,0.000903,0.001471,0.000851,0.001453,0.000471,0.001389,0.000406,0.001337
Air pressure at mean sea level,psl,∆hPa,2.95,8.45,0.67,9.88,0.96,7.62,1.95,5.36,0.49,3.59,-0.98,2.33,-0.66,2.05,-1.11,1.76,-0.65,1.79,0.26,4.03,1.49,7.32,1.19,8.25
Near surface wind speed,sfcWind,fraction,0.9233,0.4209,0.9785,0.4897,0.9817,0.4907,0.9362,0.4527,0.9915,0.3782,1.0146,0.4059,1.0642,0.4498,1.0146,0.4331,1.0144,0.4200,0.9982,0.4878,0.9490,0.4437,1.0168,0.5306
