# UKESM1_0_LL ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.05,2.55,2.12,2.13,1.88,2.04,2.11,2.89,2.53,2.67,1.87,2.93,2.29,2.54,2.13,2.52,2.36,2.32,2.61,2.51,2.10,2.55,1.76,2.78
Daily maximum near surface air temperature,tasmax,∆°C,2.14,2.10,2.30,2.45,1.90,3.22,2.43,4.38,3.10,3.83,2.29,3.75,2.47,2.91,2.59,3.04,2.65,3.11,2.54,3.44,2.36,2.78,2.25,2.20
Daily minimum near surface air temperature,tasmin,∆°C,2.05,3.26,2.03,2.86,1.94,2.25,1.83,2.26,1.94,2.11,1.34,3.05,1.98,2.80,1.63,2.39,2.08,2.58,2.72,3.30,1.91,3.27,1.52,3.62
Precipitation,pr,fraction,1.49,1.83,0.79,0.98,1.20,1.40,0.92,0.98,0.76,0.89,0.62,0.76,0.68,1.08,0.16,0.22,0.83,1.15,1.03,1.07,0.91,1.01,1.03,1.36
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.11,29.08,3.99,37.39,2.14,41.42,17.94,44.96,15.35,33.74,9.74,29.07,8.96,19.49,11.99,12.82,6.56,17.81,2.53,25.28,6.16,24.23,6.26,24.23
Total cloud cover percentage,clt,∆%,4.85,31.23,3.72,33.77,-1.77,27.72,-5.78,22.43,-4.32,19.24,-1.35,20.65,-5.56,16.29,-7.72,11.13,-3.85,18.51,-3.13,19.61,-3.21,25.24,-5.18,31.96
Snow depth,snd,fraction,0.39,1.00,0.45,1.00,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00
Near surface specific humidity,huss,∆kg/kg,0.000995,0.001527,0.001055,0.001439,0.000967,0.001391,0.000949,0.001476,0.000849,0.001622,0.000651,0.001986,0.000892,0.001582,0.000699,0.001368,0.001053,0.001944,0.001746,0.002330,0.001072,0.001936,0.000807,0.001732
Air pressure at mean sea level,psl,∆hPa,-2.21,9.69,-0.85,9.33,-1.16,6.97,-0.04,4.86,-1.33,3.01,-0.24,2.36,0.05,1.55,-0.35,1.72,0.17,2.33,-0.64,3.45,-0.02,5.69,0.04,9.18
Near surface wind speed,sfcWind,fraction,0.9524,0.5162,0.8952,0.4672,0.9627,0.4287,0.9522,0.3808,0.9642,0.3820,0.9874,0.3413,0.9919,0.3129,0.9753,0.2898,0.9273,0.3375,0.9255,0.3928,0.9131,0.4503,0.9271,0.4857
