# CNRM_CM6_1_HR ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.32,2.25,3.95,2.71,3.46,2.97,4.74,3.51,4.91,4.58,6.60,4.08,6.29,3.69,6.26,2.65,5.91,3.39,5.21,3.30,4.49,2.68,3.15,2.62
Daily maximum near surface air temperature,tasmax,∆°C,3.47,2.60,4.04,3.08,3.71,3.56,5.48,4.84,5.41,5.96,7.40,5.08,6.95,4.27,6.84,3.09,6.24,4.37,5.45,4.36,4.66,3.26,3.20,2.70
Daily minimum near surface air temperature,tasmin,∆°C,3.16,2.60,3.95,3.21,3.27,3.00,4.14,2.70,4.69,3.39,6.01,3.32,5.91,3.16,5.94,2.52,5.81,2.72,5.03,2.75,4.44,2.71,3.11,3.02
Precipitation,pr,fraction,0.78,0.82,0.82,0.77,0.79,0.68,0.64,0.63,0.75,0.80,0.19,0.23,0.37,0.75,0.16,0.27,0.60,0.68,0.64,0.63,0.82,0.73,0.95,1.02
Surface downwelling shortwave radiation,rsds,∆W/m²,0.45,23.99,-0.74,34.56,6.08,30.97,20.03,46.17,9.45,44.14,17.27,33.46,10.26,23.37,12.35,21.92,9.95,27.09,7.26,29.83,1.99,21.72,1.69,21.72
Total cloud cover percentage,clt,∆%,4.52,25.83,3.73,27.72,-0.64,21.50,-8.54,22.10,-4.43,17.29,-8.37,13.82,-7.58,15.05,-8.66,17.81,-6.17,20.57,-4.52,20.67,-2.52,20.70,-2.91,25.67
Snow depth,snd,fraction,0.45,1.00,0.45,1.00,0.57,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.57
Near surface specific humidity,huss,∆kg/kg,0.001160,0.001327,0.001285,0.001797,0.000774,0.001418,0.000544,0.001421,0.000865,0.001849,0.000731,0.001945,0.001516,0.001591,0.001567,0.001828,0.001885,0.001742,0.001564,0.002123,0.001473,0.001610,0.001119,0.001567
Air pressure at mean sea level,psl,∆hPa,2.28,9.19,1.84,8.24,0.88,5.97,1.56,5.68,-0.06,3.22,-0.65,2.08,-1.26,1.70,-1.64,1.78,0.24,2.48,0.79,4.23,1.51,5.90,1.47,6.93
Near surface wind speed,sfcWind,fraction,0.9241,0.4613,0.9722,0.4706,1.0130,0.4386,0.9434,0.4004,1.0838,0.3996,1.0648,0.3726,1.0695,0.3352,1.0808,0.3767,1.0045,0.3834,0.9153,0.3877,0.9607,0.4105,0.9822,0.5431
