# BCC_CSM2_MR ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.51,2.15,2.55,2.61,3.27,3.57,3.37,3.30,4.13,3.80,4.59,4.15,4.68,3.62,4.40,2.59,4.62,2.88,2.91,2.97,2.77,2.47,2.44,2.76
Daily maximum near surface air temperature,tasmax,∆°C,3.63,2.57,3.52,3.51,4.07,4.58,4.29,4.42,4.75,4.94,4.94,5.05,5.26,4.48,4.73,3.14,5.24,3.67,3.42,3.88,3.56,3.14,3.41,2.75
Daily minimum near surface air temperature,tasmin,∆°C,1.88,2.31,1.95,2.49,2.74,3.08,2.51,2.57,3.49,3.00,4.19,3.50,3.78,3.10,3.86,2.28,4.03,2.72,2.59,3.10,2.40,2.75,1.86,3.20
Precipitation,pr,fraction,0.52,0.60,0.59,0.65,0.70,0.76,0.63,0.67,0.70,0.80,0.63,0.78,0.48,0.55,0.70,0.80,0.45,0.56,0.83,0.94,0.60,0.72,0.72,0.82
Surface downwelling shortwave radiation,rsds,∆W/m²,13.57,22.67,14.87,28.99,11.16,34.49,19.68,39.01,13.25,31.21,7.67,20.20,9.82,14.25,3.59,12.68,5.51,21.51,8.39,23.78,9.55,21.66,7.25,21.66
Total cloud cover percentage,clt,∆%,-6.59,18.43,-13.49,23.96,-3.98,20.47,-9.22,17.70,-4.82,15.60,-2.41,11.54,-3.83,11.05,-3.70,10.40,-2.73,18.11,-7.29,18.38,-7.34,19.55,-8.38,23.71
Snow depth,snd,fraction,0.08,1.00,1.35,4482.41,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08,1.00
Near surface specific humidity,huss,∆kg/kg,0.000485,0.001252,0.000277,0.001269,0.000573,0.001480,0.000385,0.001309,0.000703,0.001281,0.001087,0.001279,0.001106,0.001437,0.001150,0.001560,0.001199,0.001894,0.000966,0.002000,0.000739,0.001472,0.000699,0.001465
Air pressure at mean sea level,psl,∆hPa,2.97,10.61,2.98,7.92,1.94,6.88,0.76,5.20,-0.39,3.04,-1.30,2.78,-1.33,2.55,-1.23,2.53,-0.16,3.16,0.88,4.47,0.67,6.05,2.60,8.81
Near surface wind speed,sfcWind,fraction,0.9286,0.4209,0.9721,0.3906,0.9429,0.4000,0.9460,0.3651,0.9948,0.3325,0.9922,0.3420,0.9726,0.3282,0.9914,0.3723,0.9438,0.3694,0.9698,0.3585,0.9560,0.3359,0.9283,0.3727
