# GISS_E2_1_H ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.31,1.95,0.72,2.36,1.33,2.56,1.10,3.08,1.42,3.22,2.20,2.91,2.26,2.18,3.07,2.61,2.29,2.77,1.99,2.60,2.01,2.37,1.55,2.22
Daily maximum near surface air temperature,tasmax,∆°C,1.58,1.99,0.88,2.50,1.40,2.98,1.02,3.63,1.39,3.49,2.21,3.18,2.28,2.28,3.16,2.82,2.16,3.04,1.91,2.86,2.08,2.46,1.54,2.04
Daily minimum near surface air temperature,tasmin,∆°C,1.21,2.44,0.51,2.78,1.18,2.63,1.04,2.82,1.34,3.13,2.18,2.81,2.26,2.37,2.99,2.67,2.41,2.70,2.04,2.58,2.00,2.61,1.63,2.77
Precipitation,pr,fraction,0.95,0.90,0.75,0.72,0.83,0.81,1.33,1.34,0.97,1.16,0.95,0.99,1.19,1.49,0.62,0.74,0.92,1.13,0.88,0.97,0.86,0.86,1.08,1.06
Surface downwelling shortwave radiation,rsds,∆W/m²,11.18,23.72,7.54,30.96,10.80,35.13,5.35,43.50,3.19,30.03,1.32,32.08,0.56,24.18,5.87,23.03,3.63,32.70,3.47,30.83,2.88,22.67,1.00,22.67
Total cloud cover percentage,clt,∆%,-9.09,20.28,-6.74,23.42,-8.25,20.39,-5.88,22.98,-5.70,16.08,-4.15,15.83,-1.74,12.99,-6.73,12.67,-2.32,19.51,-5.21,22.95,-3.39,19.39,1.08,20.63
Snow depth,snd,fraction,0.06,0.96,1.01,1.08,0.91,0.91,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.94,1.00,1.18,0.93
Near surface specific humidity,huss,∆kg/kg,0.000445,0.001282,0.000193,0.001449,0.000407,0.001217,0.000564,0.001231,0.000583,0.001395,0.001027,0.001535,0.001023,0.001476,0.001166,0.001588,0.001517,0.001665,0.001133,0.001728,0.001030,0.001553,0.000822,0.001603
Air pressure at mean sea level,psl,∆hPa,0.73,7.63,1.14,7.49,0.18,6.12,-0.99,4.39,-0.63,3.03,-0.67,2.27,-0.91,1.83,-1.14,2.09,-1.12,1.98,0.10,4.11,0.60,5.78,-1.08,7.19
Near surface wind speed,sfcWind,fraction,1.0338,0.4596,0.9537,0.3977,1.0005,0.4059,1.0075,0.3952,0.9829,0.3835,0.9510,0.3529,0.9943,0.3164,0.9562,0.3153,0.9451,0.3729,0.9729,0.4302,1.0273,0.4026,0.9663,0.4121
