# MIROC_ES2H ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.67,2.49,1.79,2.20,1.90,2.92,3.26,3.84,3.83,4.40,4.69,3.73,3.89,3.75,3.15,3.13,4.26,3.47,2.39,3.02,1.77,2.44,1.23,2.26
Daily maximum near surface air temperature,tasmax,∆°C,1.65,2.50,2.28,2.91,2.43,4.55,4.47,5.66,5.10,6.07,5.59,4.81,4.43,4.33,3.49,3.59,5.18,4.40,2.64,4.79,2.15,3.12,1.55,2.08
Daily minimum near surface air temperature,tasmin,∆°C,1.74,2.80,1.52,2.31,1.54,2.25,2.32,2.65,2.75,3.13,3.84,2.81,3.38,3.26,2.87,2.78,3.54,2.89,2.18,2.17,1.49,2.40,1.03,2.71
Precipitation,pr,fraction,1.27,1.19,0.88,0.99,0.77,0.75,0.63,0.62,0.45,0.49,0.30,0.40,0.55,0.63,1.05,1.57,0.38,0.49,1.04,1.14,0.99,0.98,0.96,0.93
Surface downwelling shortwave radiation,rsds,∆W/m²,-2.47,26.43,7.57,37.45,8.10,45.29,22.22,42.94,22.53,44.75,10.86,35.69,5.15,28.31,-0.16,23.39,12.75,24.72,2.20,36.15,5.15,24.03,4.80,24.03
Total cloud cover percentage,clt,∆%,1.80,24.03,-3.99,26.83,-1.86,24.86,-8.19,18.41,-6.81,16.26,-2.66,13.97,-1.78,12.00,-1.39,9.78,-6.20,12.78,-1.59,23.42,-3.46,20.50,-4.24,23.37
Snow depth,snd,fraction,0.92,0.94,0.09,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,1.00
Near surface specific humidity,huss,∆kg/kg,0.000521,0.001492,0.000356,0.001500,0.000261,0.001842,-0.000026,0.001489,-0.000225,0.001673,-0.000341,0.001874,-0.000012,0.001689,0.000678,0.001944,0.000040,0.001741,0.000332,0.002040,0.000326,0.001615,0.000290,0.001567
Air pressure at mean sea level,psl,∆hPa,-1.33,7.33,1.05,8.35,0.50,5.43,0.49,3.54,0.04,2.37,-0.48,1.90,-0.41,1.65,-0.86,1.37,-0.51,1.61,-0.48,3.68,0.55,5.45,1.25,6.90
Near surface wind speed,sfcWind,fraction,1.0190,0.4328,0.9692,0.4406,0.9492,0.3944,0.9797,0.3736,1.0338,0.3716,1.0613,0.3804,1.0562,0.3845,1.0453,0.3710,1.0069,0.3653,1.0587,0.4214,1.0205,0.4331,0.9528,0.4539
