# GISS_E2_2_G ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.16,1.82,2.46,2.66,1.91,2.83,2.16,2.80,2.81,3.25,3.18,3.30,3.31,2.44,3.21,2.56,3.20,2.62,2.25,3.13,1.94,2.44,2.05,2.52
Daily maximum near surface air temperature,tasmax,∆°C,2.41,2.02,2.50,3.13,1.84,3.44,2.07,3.25,2.83,3.78,3.06,3.52,3.32,2.59,3.17,2.87,3.20,2.75,2.23,3.36,2.01,2.72,2.15,2.43
Daily minimum near surface air temperature,tasmin,∆°C,2.06,2.14,2.38,2.93,1.92,2.52,2.16,2.66,2.66,2.84,3.20,3.21,3.28,2.57,3.17,2.48,3.09,2.81,2.20,3.20,1.83,2.69,1.94,2.96
Precipitation,pr,fraction,0.58,0.60,0.81,0.97,1.20,1.31,0.80,0.84,0.47,0.49,0.51,0.63,0.53,0.69,0.49,0.60,0.86,1.03,0.73,0.80,0.71,0.71,1.13,1.14
Surface downwelling shortwave radiation,rsds,∆W/m²,5.68,19.89,6.08,29.99,3.18,34.79,8.12,36.40,12.82,41.40,9.83,41.60,4.28,34.37,6.02,32.83,5.41,33.65,8.02,23.53,7.88,21.98,2.36,21.98
Total cloud cover percentage,clt,∆%,-3.13,19.19,-6.70,27.05,-1.03,25.06,-5.18,16.46,-6.47,23.44,-6.39,19.76,-3.84,17.43,-6.01,19.72,-2.92,22.41,-3.86,19.38,-5.51,21.67,0.25,17.73
Snow depth,snd,fraction,0.87,0.93,8.81,13.29,0.96,1.03,1.04,1.23,0.92,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.91,0.96,0.99,0.11,0.94
Near surface specific humidity,huss,∆kg/kg,0.000637,0.001025,0.000518,0.001291,0.000590,0.001118,0.000492,0.001075,0.000385,0.001200,0.000844,0.001786,0.000930,0.001699,0.001206,0.001661,0.001350,0.001880,0.000835,0.001396,0.000613,0.001206,0.000792,0.001247
Air pressure at mean sea level,psl,∆hPa,1.14,6.19,0.91,7.51,-1.27,6.31,-0.26,4.04,0.05,2.58,-0.80,2.29,-1.17,1.97,-0.90,1.68,-0.53,2.84,-1.00,4.19,0.59,5.88,-1.06,6.30
Near surface wind speed,sfcWind,fraction,1.0036,0.4182,1.0538,0.4179,1.0291,0.3853,1.0348,0.3581,1.0292,0.3554,1.0093,0.3462,1.0062,0.3145,1.0085,0.3522,0.9564,0.3660,0.9918,0.4011,1.0244,0.4051,1.0257,0.4482
