# BCC_CSM2_MR ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.84,1.85,1.64,1.95,1.69,2.02,1.89,2.14,2.04,2.58,2.15,2.53,2.38,2.59,2.27,2.41,2.36,2.38,1.60,1.80,1.60,1.44,1.80,1.77
Daily maximum near surface air temperature,tasmax,∆°C,1.86,1.87,1.66,1.98,1.77,2.09,1.96,2.33,2.12,2.81,2.24,2.83,2.39,2.84,2.32,2.67,2.42,2.61,1.58,1.91,1.59,1.42,1.81,1.73
Daily minimum near surface air temperature,tasmin,∆°C,1.80,1.81,1.62,1.93,1.59,1.95,1.84,1.99,1.95,2.32,2.05,2.23,2.37,2.38,2.23,2.22,2.30,2.19,1.58,1.76,1.62,1.48,1.79,1.80
Precipitation,pr,fraction,1.10,0.73,0.90,0.69,1.04,0.77,0.94,0.74,0.92,0.77,1.01,0.90,1.07,0.93,0.64,0.62,0.71,0.62,0.98,0.80,0.97,0.63,1.21,0.80
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.29,7.52,6.56,17.49,7.20,23.90,16.54,42.12,17.70,49.94,16.88,61.99,11.74,52.40,23.29,40.81,10.66,29.94,2.69,19.78,1.44,8.53,1.70,8.53
Total cloud cover percentage,clt,∆%,1.00,12.23,-2.61,16.57,-2.39,11.70,-2.71,10.90,-5.09,11.49,-1.27,12.19,-0.95,12.74,-5.61,11.89,-1.77,10.78,-0.97,10.57,0.86,11.34,-1.14,11.19
Snow depth,snd,fraction,0.04,0.06,0.07,0.13,0.06,0.10,0.02,0.96,0.96,0.96,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,0.02,0.02,0.02,0.02
Near surface specific humidity,huss,∆kg/kg,0.000820,0.001280,0.000461,0.001329,0.000421,0.001009,0.000541,0.000898,0.000529,0.000862,0.000707,0.000970,0.000788,0.001104,0.000538,0.001201,0.000799,0.001360,0.000461,0.001331,0.000710,0.001051,0.000810,0.001290
Air pressure at mean sea level,psl,∆hPa,-0.17,11.63,3.39,14.01,1.44,10.74,2.14,9.84,1.87,8.91,1.35,6.50,-0.45,4.91,1.22,5.53,1.19,7.08,0.64,9.57,4.51,11.51,-0.56,12.20
Near surface wind speed,sfcWind,fraction,1.0799,0.4451,1.0094,0.4407,1.0724,0.4691,1.0558,0.4437,0.9924,0.3723,1.0131,0.3708,1.0161,0.3927,0.9983,0.4001,0.9561,0.3882,1.0572,0.4362,0.9986,0.4082,1.0873,0.4235
