# Ensemble ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.84,0.00,1.64,0.00,1.69,0.00,1.89,0.00,2.04,0.00,2.15,0.00,2.38,0.00,2.27,0.00,2.36,0.00,1.60,0.00,1.60,0.00,1.80,0.00
Daily maximum near surface air temperature,tasmax,∆°C,1.86,0.00,1.66,0.00,1.77,0.00,1.96,0.00,2.12,0.00,2.24,0.00,2.39,0.00,2.32,0.00,2.42,0.00,1.58,0.00,1.59,0.00,1.81,0.00
Daily minimum near surface air temperature,tasmin,∆°C,1.80,0.00,1.62,0.00,1.59,0.00,1.84,0.00,1.95,0.00,2.05,0.00,2.37,0.00,2.23,0.00,2.30,0.00,1.58,0.00,1.62,0.00,1.79,0.00
Precipitation,pr,fraction,1.10,0.00,0.90,0.00,1.04,0.00,0.94,0.00,0.92,0.00,1.01,0.00,1.07,0.00,0.64,0.00,0.71,0.00,0.98,0.00,0.97,0.00,1.21,0.00
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.29,0.00,6.56,0.00,7.20,0.00,16.54,0.00,17.70,0.00,16.88,0.00,11.74,0.00,23.29,0.00,10.66,0.00,2.69,0.00,1.44,0.00,1.70,0.00
Total cloud cover percentage,clt,∆%,1.00,0.00,-2.61,0.00,-2.39,0.00,-2.71,0.00,-5.09,0.00,-1.27,0.00,-0.95,0.00,-5.61,0.00,-1.77,0.00,-0.97,0.00,0.86,0.00,-1.14,0.00
Snow depth,snd,fraction,0.04,0.00,0.07,0.00,0.06,0.00,0.02,0.00,0.96,0.00,0.96,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.96,0.00,0.02,0.00,0.02,0.00
Near surface specific humidity,huss,∆kg/kg,0.000820,0.000000,0.000461,0.000000,0.000421,0.000000,0.000541,0.000000,0.000529,0.000000,0.000707,0.000000,0.000788,0.000000,0.000538,0.000000,0.000799,0.000000,0.000461,0.000000,0.000710,0.000000,0.000810,0.000000
Air pressure at mean sea level,psl,∆hPa,-0.17,0.00,3.39,0.00,1.44,0.00,2.14,0.00,1.87,0.00,1.35,0.00,-0.45,0.00,1.22,0.00,1.19,0.00,0.64,0.00,4.51,0.00,-0.56,0.00
Near surface wind speed,sfcWind,fraction,1.0799,0.0000,1.0094,0.0000,1.0724,0.0000,1.0558,0.0000,0.9924,0.0000,1.0131,0.0000,1.0161,0.0000,0.9983,0.0000,0.9561,0.0000,1.0572,0.0000,0.9986,0.0000,1.0873,0.0000
