# ICHEC_EC_EARTH_SMHI_RCA4 rcp45 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.74,2.83,1.96,2.89,1.75,2.19,1.79,2.01,1.30,2.03,1.83,2.41,2.32,2.80,2.99,2.82,3.01,2.61,2.14,2.15,1.30,2.94,1.72,3.46
Daily maximum near surface air temperature,tasmax,∆°C,1.75,2.73,2.00,2.74,1.69,2.30,1.76,2.17,1.16,2.33,1.89,3.08,2.73,4.06,3.47,4.12,3.67,3.32,2.22,2.14,1.41,2.46,1.92,3.37
Daily minimum near surface air temperature,tasmin,∆°C,1.63,2.68,1.82,2.80,1.60,2.02,1.71,2.05,1.50,2.00,1.83,1.98,1.93,2.01,2.59,2.03,2.67,2.51,2.04,2.38,1.28,2.89,1.53,3.28
Precipitation,pr,fraction,1.19,0.88,1.09,0.89,1.15,0.91,1.20,0.96,0.97,0.74,0.93,0.84,0.75,0.68,0.86,0.77,0.83,0.71,1.06,0.83,0.94,0.70,1.10,0.80
Surface downwelling shortwave radiation,rsds,∆W/m²,-1.77,6.19,-2.70,16.38,-8.09,18.97,-3.49,26.84,-5.29,34.93,4.52,44.58,14.08,46.27,9.60,34.39,9.73,23.39,0.49,13.86,0.39,9.67,-0.40,9.67
Total cloud cover percentage,clt,∆%,3.04,11.64,-0.27,14.53,3.06,13.40,2.33,13.49,1.05,12.66,-2.30,13.91,-4.39,14.94,-4.81,13.44,-2.77,13.84,-0.15,12.65,-2.41,13.46,-0.55,13.26
Snow depth,snd,fraction,0.48,0.48,0.41,0.41,0.26,0.33,0.11,0.18,0.53,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04,0.42,0.47,0.62,0.47,0.51
Near surface specific humidity,huss,∆kg/kg,0.000620,0.000853,0.000620,0.000934,0.000670,0.000793,0.000793,0.000943,0.000622,0.001070,0.000860,0.001177,0.000628,0.001292,0.000852,0.001190,0.001033,0.001191,0.000902,0.000992,0.000494,0.001133,0.000642,0.001153
Air pressure at mean sea level,psl,∆hPa,-0.50,13.32,-2.42,13.42,-2.00,12.63,0.84,12.07,2.08,8.22,1.54,6.15,2.20,4.31,1.82,4.55,0.71,6.42,-0.45,9.59,0.47,12.10,1.86,14.54
Near surface wind speed,sfcWind,fraction,0.9934,0.4766,1.0530,0.5073,0.9798,0.4461,0.9712,0.4224,0.9666,0.4147,0.9229,0.3837,0.9205,0.3741,0.9421,0.3805,0.8924,0.3781,0.9841,0.4214,1.0089,0.4813,0.9778,0.4527
