# Ensemble rcp85 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.53,0.00,2.09,0.00,1.72,0.00,1.39,0.00,1.32,0.00,2.07,0.00,1.83,0.00,2.32,0.00,2.19,0.00,1.84,0.00,1.13,0.00,1.45,0.00
Daily maximum near surface air temperature,tasmax,∆°C,1.59,0.00,2.04,0.00,1.72,0.00,1.34,0.00,1.20,0.00,2.07,0.00,2.07,0.00,2.66,0.00,2.48,0.00,1.94,0.00,1.27,0.00,1.61,0.00
Daily minimum near surface air temperature,tasmin,∆°C,1.37,0.00,1.96,0.00,1.73,0.00,1.45,0.00,1.50,0.00,2.17,0.00,1.68,0.00,2.09,0.00,2.09,0.00,1.77,0.00,1.11,0.00,1.23,0.00
Precipitation,pr,fraction,1.12,0.00,1.10,0.00,1.03,0.00,1.23,0.00,0.98,0.00,0.94,0.00,0.81,0.00,0.96,0.00,0.84,0.00,1.01,0.00,0.93,0.00,1.12,0.00
Surface downwelling shortwave radiation,rsds,∆W/m²,-1.66,0.00,-5.57,0.00,-3.89,0.00,-2.43,0.00,-6.05,0.00,3.09,0.00,7.32,0.00,5.26,0.00,4.22,0.00,1.96,0.00,1.50,0.00,-1.09,0.00
Total cloud cover percentage,clt,∆%,1.48,0.00,2.03,0.00,0.34,0.00,-0.50,0.00,0.52,0.00,-0.33,0.00,-2.31,0.00,-3.33,0.00,-1.14,0.00,-0.73,0.00,-2.00,0.00,0.07,0.00
Snow depth,snd,fraction,0.65,0.00,0.40,0.00,0.33,0.00,0.17,0.00,0.61,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.01,0.00,0.67,0.00,0.57,0.00
Near surface specific humidity,huss,∆kg/kg,0.000567,0.000000,0.000642,0.000000,0.000658,0.000000,0.000533,0.000000,0.000672,0.000000,0.001052,0.000000,0.000578,0.000000,0.000648,0.000000,0.000902,0.000000,0.000826,0.000000,0.000450,0.000000,0.000543,0.000000
Air pressure at mean sea level,psl,∆hPa,1.10,0.00,0.30,0.00,-0.24,0.00,0.15,0.00,1.61,0.00,1.35,0.00,1.09,0.00,1.19,0.00,0.26,0.00,1.01,0.00,1.20,0.00,0.64,0.00
Near surface wind speed,sfcWind,fraction,1.0068,0.0000,1.0896,0.0000,1.0132,0.0000,1.0492,0.0000,0.9763,0.0000,0.9487,0.0000,0.9594,0.0000,0.9577,0.0000,0.9114,0.0000,0.9333,0.0000,0.9719,0.0000,1.0021,0.0000
