# ICHEC_EC_EARTH_SMHI_RCA4 rcp85 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.33,3.34,2.23,3.37,2.53,2.63,2.74,2.28,2.42,2.39,3.28,2.30,4.36,3.49,4.79,2.87,3.99,2.68,3.33,2.54,2.55,2.97,3.29,3.27
Daily maximum near surface air temperature,tasmax,∆°C,2.52,3.17,2.47,3.38,2.51,2.70,2.68,2.56,2.22,2.82,3.52,2.95,5.22,4.83,5.76,4.02,4.54,3.41,3.24,2.38,2.74,2.49,3.46,3.07
Daily minimum near surface air temperature,tasmin,∆°C,2.06,3.22,2.01,3.19,2.45,2.56,2.70,2.10,2.79,2.24,3.06,1.83,3.71,2.64,4.10,2.07,3.77,2.49,3.45,2.85,2.41,3.05,3.07,3.23
Precipitation,pr,fraction,1.26,1.02,1.01,0.83,0.97,0.80,1.13,0.94,1.16,0.90,0.62,0.53,0.59,0.54,0.73,0.63,0.88,0.76,1.00,0.78,0.94,0.70,1.08,0.76
Surface downwelling shortwave radiation,rsds,∆W/m²,-1.25,6.84,-1.43,15.85,-6.21,21.93,-2.21,28.53,-10.19,40.88,18.77,41.77,24.38,49.79,16.81,32.20,7.24,25.44,-1.84,13.77,0.70,8.75,-1.88,8.75
Total cloud cover percentage,clt,∆%,-0.27,12.93,-2.77,17.12,3.34,15.09,0.32,14.00,2.17,11.89,-5.59,13.43,-7.37,16.74,-8.31,11.99,-4.30,14.76,1.35,12.98,-1.89,12.79,1.38,13.09
Snow depth,snd,fraction,0.37,0.40,0.43,0.47,0.17,0.22,0.07,0.15,0.53,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.29,0.40,0.27,0.29
Near surface specific humidity,huss,∆kg/kg,0.000863,0.001036,0.000755,0.001088,0.000972,0.001073,0.001133,0.001010,0.001252,0.001289,0.001470,0.001139,0.001148,0.001559,0.001030,0.001068,0.001435,0.001046,0.001491,0.001217,0.001082,0.001198,0.001279,0.001098
Air pressure at mean sea level,psl,∆hPa,0.91,13.25,2.05,12.86,0.74,11.93,1.71,11.88,1.24,8.47,4.19,5.73,2.00,4.33,1.91,4.26,1.89,6.55,1.38,10.29,3.69,11.63,3.98,11.82
Near surface wind speed,sfcWind,fraction,0.9823,0.5094,0.9900,0.4942,0.9556,0.4548,1.0058,0.4460,0.9748,0.4158,0.8943,0.3856,0.9242,0.3691,0.9456,0.3795,0.9451,0.4054,0.9566,0.4437,0.9439,0.4576,0.9680,0.4614
