# GFDL_ESM4 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.64,2.95,0.95,2.91,1.63,2.79,1.28,2.85,1.05,3.36,1.61,3.61,1.14,3.00,1.72,2.02,1.74,2.87,1.22,2.97,0.99,2.39,1.15,2.56
Daily maximum near surface air temperature,tasmax,∆°C,0.93,2.75,1.59,3.38,1.99,3.27,1.63,3.53,1.18,3.98,1.75,4.35,1.23,3.28,1.72,2.19,1.77,3.36,1.49,3.80,1.19,2.45,1.16,2.12
Daily minimum near surface air temperature,tasmin,∆°C,0.40,3.38,0.46,2.91,1.26,2.78,0.88,2.37,0.86,2.75,1.53,2.74,1.06,2.69,1.68,1.94,1.67,2.42,0.92,2.32,0.84,2.69,1.07,3.14
Precipitation,pr,fraction,0.85,0.83,0.74,0.76,0.83,0.81,0.97,0.85,1.00,1.02,0.79,0.94,1.01,1.36,0.66,1.01,0.80,1.02,0.74,0.72,0.84,0.80,1.16,1.14
Surface downwelling shortwave radiation,rsds,∆W/m²,4.17,24.98,11.88,26.26,7.05,39.28,10.99,37.79,6.32,42.31,8.07,37.38,3.58,26.99,1.97,19.54,2.35,25.05,7.87,29.86,5.07,22.66,-0.61,22.66
Total cloud cover percentage,clt,∆%,-3.30,28.62,-4.80,23.93,-0.19,27.16,-4.00,21.83,-2.25,18.65,-1.96,20.61,-1.32,15.33,0.63,15.31,0.54,17.71,-2.49,20.80,-2.40,22.96,2.70,25.70
Snow depth,snd,fraction,0.01,0.03,0.02,0.05,0.25,0.66,0.16,0.36,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14,1.00,0.12,0.32
Near surface specific humidity,huss,∆kg/kg,0.000171,0.001456,0.000108,0.001296,0.000349,0.001381,0.000104,0.001271,0.000153,0.001348,0.000269,0.001760,0.000115,0.001663,0.000306,0.001510,0.000294,0.001900,0.000158,0.001681,0.000182,0.001398,0.000476,0.001393
Air pressure at mean sea level,psl,∆hPa,1.68,7.61,2.26,7.94,0.53,6.50,0.48,4.64,-0.07,2.81,-0.02,2.15,-0.11,1.58,-0.41,1.58,0.28,2.25,1.15,3.83,0.87,6.63,-0.42,7.22
Near surface wind speed,sfcWind,fraction,0.9521,0.4349,0.9049,0.3889,0.9704,0.3827,0.9849,0.3376,0.9907,0.3437,1.0228,0.3564,1.0328,0.3168,1.0045,0.3148,1.0077,0.3439,0.9369,0.3772,0.9773,0.4395,1.0612,0.4730
