# GISS_E2_2_G ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.55,1.65,1.41,2.43,1.35,2.83,1.37,2.99,2.03,2.98,2.11,3.15,1.67,2.62,2.07,2.49,1.60,2.70,1.26,2.99,0.88,2.59,1.30,2.64
Daily maximum near surface air temperature,tasmax,∆°C,1.81,2.07,1.35,3.15,1.36,3.43,1.24,3.26,2.08,3.40,2.10,3.38,1.62,2.80,2.15,2.83,1.60,2.80,1.17,3.34,0.96,2.93,1.34,2.64
Daily minimum near surface air temperature,tasmin,∆°C,1.49,1.82,1.47,2.60,1.36,2.54,1.45,2.98,1.89,2.70,2.03,3.04,1.73,2.62,1.89,2.39,1.51,2.83,1.33,2.99,0.76,2.75,1.25,2.99
Precipitation,pr,fraction,0.67,0.69,1.00,1.06,1.09,1.07,0.98,1.03,0.86,0.86,0.86,1.03,0.88,1.06,0.52,0.66,0.90,1.02,1.06,1.13,0.79,0.75,1.07,1.09
Surface downwelling shortwave radiation,rsds,∆W/m²,9.02,19.76,3.60,28.07,4.69,35.46,3.66,34.96,6.39,37.66,10.38,40.39,3.70,35.41,7.23,31.25,9.88,33.09,1.58,26.71,6.17,18.67,3.09,18.67
Total cloud cover percentage,clt,∆%,-5.72,21.19,-3.08,25.84,1.12,21.82,-3.92,15.42,-1.07,20.73,-5.72,20.12,-0.18,19.49,-4.37,19.55,-4.24,19.94,0.32,20.90,-2.64,20.38,0.16,16.92
Snow depth,snd,fraction,0.94,1.01,0.89,0.96,1.41,0.99,1.07,1.28,0.91,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.91,0.99,1.04,0.67,1.12
Near surface specific humidity,huss,∆kg/kg,0.000399,0.001012,0.000391,0.001182,0.000504,0.001003,0.000510,0.001152,0.000616,0.001315,0.000512,0.001558,0.000697,0.001515,0.000720,0.001536,0.000558,0.001870,0.000751,0.001589,0.000311,0.001158,0.000476,0.001253
Air pressure at mean sea level,psl,∆hPa,1.36,6.93,-0.35,7.67,-0.99,5.51,-0.34,3.77,-0.44,2.50,-0.40,2.48,-0.79,1.91,-0.88,1.67,-0.21,2.53,-1.01,3.77,0.22,5.28,-0.37,6.09
Near surface wind speed,sfcWind,fraction,1.0282,0.4371,1.0322,0.4344,0.9953,0.3704,0.9966,0.3482,0.9744,0.3419,1.0036,0.3393,1.0119,0.3105,0.9785,0.3384,1.0053,0.3894,0.9537,0.3709,0.9976,0.3820,1.0637,0.4812
