# FGOALS_g3 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.22,1.69,1.22,1.67,1.21,1.59,1.33,1.51,1.42,2.00,1.75,2.06,1.31,1.79,1.27,1.99,1.76,1.46,1.61,1.93,1.63,1.85,1.17,1.88
Daily maximum near surface air temperature,tasmax,∆°C,1.25,1.70,1.22,1.68,1.20,1.68,1.32,1.61,1.47,2.09,1.72,1.99,1.29,1.70,1.31,1.94,1.78,1.49,1.63,1.91,1.68,1.83,1.16,1.80
Daily minimum near surface air temperature,tasmin,∆°C,1.18,1.67,1.25,1.66,1.23,1.55,1.33,1.40,1.34,1.87,1.76,2.13,1.36,1.90,1.19,2.00,1.70,1.45,1.57,1.94,1.61,1.89,1.19,2.00
Precipitation,pr,fraction,1.08,0.97,0.84,0.83,0.68,0.66,0.84,0.84,1.00,0.87,1.05,0.90,1.02,0.65,1.00,0.72,0.87,0.70,0.82,0.74,1.13,0.98,0.83,0.72
Surface downwelling shortwave radiation,rsds,∆W/m²,2.25,17.01,7.30,23.02,11.98,35.32,9.46,34.53,9.91,32.48,10.10,38.49,0.59,25.50,1.54,24.26,1.86,22.83,2.67,20.64,1.03,15.78,5.68,15.78
Total cloud cover percentage,clt,∆%,0.59,14.23,-3.49,14.32,-1.17,14.90,-2.35,12.28,1.21,15.17,-0.94,14.23,0.91,12.32,2.00,11.92,5.21,15.41,2.37,12.09,2.70,10.32,-2.87,12.68
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000620,0.001050,0.000510,0.001090,0.000469,0.001040,0.000620,0.000980,0.000779,0.001139,0.001089,0.001079,0.000969,0.001049,0.001030,0.001288,0.001389,0.001309,0.001139,0.001439,0.000960,0.001149,0.000450,0.000990
Air pressure at mean sea level,psl,∆hPa,-1.19,7.02,-0.05,8.85,1.51,7.59,0.14,5.45,0.08,4.23,-0.53,2.47,-0.38,1.46,-0.60,1.79,0.07,2.39,-0.32,3.62,-0.93,6.09,0.65,7.45
Near surface wind speed,sfcWind,fraction,0.9964,0.4261,0.9710,0.4594,1.0044,0.3953,1.0049,0.4245,1.0148,0.4507,1.0370,0.4574,1.0041,0.4718,1.0560,0.5272,1.0530,0.4607,0.9549,0.3963,0.9841,0.4273,0.9371,0.4004
