# CNRM_ESM2_1 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.66,2.63,0.95,2.91,1.00,2.51,1.32,3.10,2.37,5.02,2.93,3.73,2.16,2.90,1.44,2.19,1.43,2.61,2.14,3.71,0.61,2.69,0.48,2.67
Daily maximum near surface air temperature,tasmax,∆°C,0.68,2.43,1.08,3.31,1.27,3.26,1.72,4.30,2.92,6.07,3.09,4.07,2.31,3.28,1.60,2.51,1.36,3.24,2.29,4.68,0.33,3.09,0.41,2.33
Daily minimum near surface air temperature,tasmin,∆°C,0.65,3.30,0.85,3.46,0.79,2.81,1.03,2.47,1.78,4.21,2.83,3.68,2.07,2.71,1.37,2.26,1.59,2.33,2.08,3.27,0.74,3.29,0.53,3.23
Precipitation,pr,fraction,1.01,1.03,0.84,0.90,0.87,0.89,0.66,0.69,0.43,0.44,0.46,0.57,0.40,0.63,0.75,1.15,1.19,1.37,0.77,0.79,0.94,0.94,1.13,0.98
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.50,28.15,2.88,38.92,6.99,39.93,17.29,42.28,21.60,37.42,13.86,34.99,9.90,21.65,10.16,31.17,-0.33,23.23,3.68,27.87,-0.54,30.70,-0.90,30.70
Total cloud cover percentage,clt,∆%,1.30,31.07,0.08,30.80,-2.55,25.73,-3.53,23.44,-6.02,19.91,-2.95,17.11,-3.43,14.93,-5.04,17.61,-0.34,18.21,-3.27,21.82,1.69,26.88,2.08,27.25
Snow depth,snd,fraction,0.02,0.06,1.60,4.04,9.68,5108.09,0.01,0.89,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.98,1.01,1.87,2.72,9.40,1341.25
Near surface specific humidity,huss,∆kg/kg,0.000270,0.001397,0.000260,0.001511,0.000083,0.001355,-0.000202,0.001307,-0.000592,0.001683,-0.000543,0.001916,-0.000000,0.001320,0.000291,0.001771,0.000755,0.001845,0.000589,0.001553,0.000278,0.001729,0.000189,0.001533
Air pressure at mean sea level,psl,∆hPa,-0.06,9.90,1.55,10.20,0.45,7.78,1.35,5.50,0.54,3.07,-0.40,2.23,-0.51,1.62,-0.45,1.71,0.04,2.37,0.92,3.87,0.59,6.72,0.22,7.89
Near surface wind speed,sfcWind,fraction,1.0064,0.4945,0.9879,0.4923,1.0233,0.4717,1.0899,0.4368,1.0669,0.4326,1.1811,0.4766,1.0508,0.3688,1.0384,0.3463,0.9934,0.4030,0.9891,0.4462,1.0019,0.4818,1.0283,0.4492
