# GISS_E2_2_G ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.93,2.04,1.68,2.23,1.50,2.95,2.05,2.80,2.17,3.62,2.27,3.12,2.24,2.70,2.36,2.51,1.81,2.40,1.48,2.99,1.56,2.49,1.90,2.50
Daily maximum near surface air temperature,tasmax,∆°C,1.97,2.28,1.61,2.92,1.49,3.58,2.08,3.22,2.15,4.09,2.27,3.34,2.25,2.82,2.31,2.72,1.71,2.54,1.41,3.05,1.54,2.75,1.72,2.49
Daily minimum near surface air temperature,tasmin,∆°C,2.04,2.27,1.70,2.35,1.54,2.66,1.96,2.69,2.11,3.23,2.17,3.01,2.21,2.76,2.26,2.53,1.84,2.51,1.51,3.16,1.64,2.74,2.05,2.92
Precipitation,pr,fraction,0.85,0.94,0.84,0.87,1.19,1.21,0.82,0.89,0.90,0.98,0.77,0.91,0.66,0.81,0.37,0.42,0.99,1.07,0.99,1.05,0.70,0.68,1.25,1.30
Surface downwelling shortwave radiation,rsds,∆W/m²,4.56,18.78,3.15,28.62,2.86,34.25,6.48,37.69,0.45,38.06,10.15,38.97,7.44,33.91,7.17,29.25,2.23,32.96,2.14,24.48,0.72,22.63,0.15,22.63
Total cloud cover percentage,clt,∆%,-1.87,18.20,-2.28,26.74,1.31,23.34,-5.94,20.23,-1.39,21.43,-6.55,20.44,-3.89,17.03,-5.28,18.03,-0.63,21.15,-1.26,21.13,0.58,21.92,1.53,17.92
Snow depth,snd,fraction,9.11,3.31,0.86,0.92,0.91,0.91,0.92,0.94,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.91,0.99,1.05,0.64,0.32
Near surface specific humidity,huss,∆kg/kg,0.000602,0.001020,0.000441,0.001064,0.000606,0.000909,0.000456,0.001169,0.000616,0.001197,0.000558,0.001540,0.000670,0.001668,0.000797,0.001678,0.000826,0.001718,0.000762,0.001572,0.000612,0.001327,0.000747,0.001325
Air pressure at mean sea level,psl,∆hPa,0.46,7.65,0.24,7.33,-1.01,6.23,-0.03,4.65,-0.54,2.53,-0.63,2.23,-0.72,2.08,-0.62,1.91,-0.45,2.40,-0.66,4.02,0.40,5.53,-1.33,7.46
Near surface wind speed,sfcWind,fraction,1.0619,0.4533,1.0209,0.3983,1.0252,0.3855,1.0041,0.3465,0.9868,0.3598,0.9887,0.3384,1.0190,0.3292,1.0183,0.3638,0.9681,0.3787,0.9632,0.4059,1.0168,0.4297,1.0720,0.4753
