# GISS_E2_1_G ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.56,2.18,1.63,2.47,1.03,2.96,1.82,2.54,3.44,3.50,2.89,3.14,3.62,2.29,3.24,2.92,2.91,2.93,2.71,3.22,1.59,2.81,1.34,2.24
Daily maximum near surface air temperature,tasmax,∆°C,1.91,2.49,1.54,2.95,1.11,3.45,1.89,2.97,3.49,3.90,2.77,3.46,3.63,2.43,3.14,3.10,2.82,3.07,2.68,3.28,1.73,3.12,1.36,2.38
Daily minimum near surface air temperature,tasmin,∆°C,1.37,2.48,1.70,2.75,0.85,3.00,1.72,2.48,3.40,3.31,3.03,2.99,3.65,2.34,3.26,2.97,2.87,2.98,2.67,3.38,1.50,2.97,1.21,2.55
Precipitation,pr,fraction,0.85,0.84,1.01,1.07,0.82,0.83,0.66,0.64,0.69,0.79,1.01,1.29,0.61,0.85,0.58,0.68,0.69,0.74,0.80,0.89,0.85,0.85,1.04,0.99
Surface downwelling shortwave radiation,rsds,∆W/m²,7.40,19.91,-0.46,33.48,7.68,35.52,11.87,37.69,2.17,39.30,-2.33,39.91,-0.45,22.34,2.42,26.79,6.92,29.52,5.10,27.60,2.71,24.10,-1.58,24.10
Total cloud cover percentage,clt,∆%,-6.68,19.14,-0.84,24.74,-6.28,21.62,-6.58,18.80,-4.17,20.73,-0.66,20.10,-0.02,14.21,-5.37,16.23,-8.49,19.80,-5.23,21.24,-3.90,20.02,-1.34,16.54
Snow depth,snd,fraction,0.92,0.93,0.93,0.95,0.93,0.96,0.91,1.00,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,1.00,0.91,0.91,0.93,0.95
Near surface specific humidity,huss,∆kg/kg,0.000646,0.001133,0.000653,0.001357,0.000253,0.001247,0.000557,0.001212,0.000999,0.001455,0.001116,0.001745,0.001377,0.001705,0.001352,0.001939,0.001222,0.001999,0.001390,0.002212,0.000760,0.001509,0.000848,0.001218
Air pressure at mean sea level,psl,∆hPa,1.03,8.86,-0.46,7.67,0.01,5.67,-0.15,4.25,0.02,2.31,-0.79,2.07,-0.66,1.78,-1.09,1.31,-0.46,1.92,-0.85,3.51,0.30,5.65,-0.63,6.30
Near surface wind speed,sfcWind,fraction,0.9831,0.4034,1.0412,0.4507,0.9765,0.3703,1.0087,0.3658,1.0203,0.3323,1.0108,0.3765,0.9851,0.3242,1.0145,0.3659,1.0341,0.3796,1.0089,0.4184,0.9766,0.3858,0.9698,0.3981
