# CanESM5 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.04,2.59,1.72,2.25,2.25,3.10,2.39,3.21,2.83,3.51,3.62,3.94,3.88,3.19,3.95,2.43,4.17,2.80,3.45,3.01,2.40,2.34,2.36,2.21
Daily maximum near surface air temperature,tasmax,∆°C,1.71,2.80,1.47,3.34,1.97,4.56,2.32,4.55,2.56,4.44,3.55,5.07,3.69,4.08,3.47,3.03,3.86,3.51,3.12,3.85,2.06,2.96,2.26,2.53
Daily minimum near surface air temperature,tasmin,∆°C,2.22,2.97,1.98,2.54,2.48,2.36,2.55,2.41,3.08,2.85,3.63,3.19,3.91,2.72,4.24,2.51,4.37,2.95,3.77,2.91,2.60,2.41,2.38,2.60
Precipitation,pr,fraction,1.61,1.99,1.40,1.72,1.40,1.59,0.87,1.03,1.35,1.55,0.71,0.94,0.66,0.83,0.90,1.13,1.27,1.40,1.02,1.09,1.07,1.21,0.98,1.18
Surface downwelling shortwave radiation,rsds,∆W/m²,-8.24,30.11,-3.15,38.93,-5.54,38.00,1.84,34.17,-3.93,40.39,3.49,29.50,1.86,21.00,-1.84,18.70,-4.07,24.17,-4.76,28.62,-2.84,27.26,-0.41,27.26
Total cloud cover percentage,clt,∆%,7.07,31.29,1.80,35.02,3.11,27.73,-3.38,21.80,-1.45,20.87,-3.79,15.90,-4.38,13.86,-1.14,12.21,-1.83,22.16,0.49,22.22,1.70,27.38,-0.83,31.89
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001169,0.001578,0.000870,0.001355,0.000922,0.001328,0.000787,0.001145,0.001210,0.001729,0.001145,0.001959,0.001720,0.002215,0.002292,0.001921,0.002539,0.002250,0.002368,0.001909,0.001563,0.001595,0.001064,0.001400
Air pressure at mean sea level,psl,∆hPa,-3.82,7.88,-2.22,7.99,-2.51,6.87,-0.52,4.18,-1.18,2.56,-1.10,2.23,-1.92,1.93,-2.67,2.04,-2.28,2.41,-1.04,3.40,-1.06,5.44,-1.15,8.92
Near surface wind speed,sfcWind,fraction,0.9912,0.5026,0.9248,0.4770,0.9973,0.4458,0.9756,0.4050,0.9572,0.3813,0.9677,0.3589,0.9898,0.3875,1.0101,0.3722,0.9502,0.3922,0.9048,0.3879,0.8993,0.4262,0.9439,0.5183
