# MIROC_ES2H ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.84,2.36,0.73,1.89,0.54,2.56,2.02,3.64,2.02,5.03,3.70,4.11,2.59,3.51,2.43,3.06,1.86,3.77,1.33,2.83,1.36,2.44,0.43,2.15
Daily maximum near surface air temperature,tasmax,∆°C,0.92,2.13,1.28,2.36,0.70,3.95,2.98,5.58,2.74,7.01,4.63,5.24,3.08,4.08,2.85,3.55,2.37,5.03,1.50,4.14,1.81,3.25,0.79,2.22
Daily minimum near surface air temperature,tasmin,∆°C,0.82,2.84,0.43,2.24,0.41,2.25,1.29,2.35,1.40,3.46,2.88,3.15,2.14,3.00,2.10,2.65,1.52,2.95,1.20,2.26,1.08,2.45,0.19,2.57
Precipitation,pr,fraction,1.03,1.06,0.75,0.75,0.83,0.82,0.66,0.64,0.77,0.79,0.35,0.43,0.65,0.80,0.73,0.87,0.61,0.71,1.15,1.15,0.93,0.95,1.11,1.14
Surface downwelling shortwave radiation,rsds,∆W/m²,1.21,27.31,11.23,37.18,3.18,47.10,16.29,45.10,13.23,46.85,12.67,33.53,6.54,27.07,3.35,22.12,5.83,27.17,0.48,29.06,7.45,26.45,7.17,26.45
Total cloud cover percentage,clt,∆%,-1.01,23.70,-6.30,25.99,0.18,25.36,-5.87,19.49,-3.27,15.49,-3.08,12.58,-2.61,11.31,-2.04,9.58,-2.26,13.90,-0.20,18.03,-5.10,22.31,-6.31,25.48
Snow depth,snd,fraction,0.90,1.00,0.09,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.07,1.36
Near surface specific humidity,huss,∆kg/kg,0.000186,0.001586,-0.000062,0.001416,0.000137,0.001718,-0.000238,0.001457,-0.000160,0.001600,-0.000281,0.001948,0.000074,0.001593,0.000143,0.001692,0.000227,0.001875,0.000295,0.002025,0.000090,0.001642,-0.000178,0.001480
Air pressure at mean sea level,psl,∆hPa,0.73,7.19,1.11,7.98,0.40,5.45,0.66,3.70,-0.29,2.05,-0.62,2.32,-0.47,1.72,-0.53,1.43,-0.29,1.69,-0.04,3.26,1.13,6.27,0.66,7.85
Near surface wind speed,sfcWind,fraction,1.0170,0.4572,0.9667,0.4153,0.9812,0.4144,0.9872,0.3673,1.0264,0.3795,1.0368,0.3796,1.0578,0.3897,1.0336,0.3780,0.9907,0.3421,0.9888,0.3821,1.0204,0.4452,0.9756,0.4814
