# GISS_E2_1_H ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.64,1.87,1.90,2.11,2.30,2.42,1.81,3.20,2.71,3.18,3.13,3.41,3.08,2.56,3.77,2.53,2.50,2.81,2.89,2.55,2.04,2.52,1.71,2.57
Daily maximum near surface air temperature,tasmax,∆°C,1.94,2.00,2.03,2.21,2.27,2.86,1.64,3.65,2.70,3.57,3.05,3.77,3.10,2.64,3.73,2.76,2.29,3.01,2.78,2.82,2.04,2.55,1.69,2.22
Daily minimum near surface air temperature,tasmin,∆°C,1.49,2.26,1.80,2.55,2.28,2.52,1.82,2.95,2.71,3.01,3.21,3.27,3.05,2.67,3.79,2.52,2.64,2.81,2.97,2.58,2.07,2.75,1.81,3.12
Precipitation,pr,fraction,0.66,0.62,0.84,0.87,0.74,0.70,0.96,0.98,0.63,0.72,1.29,1.63,0.61,0.78,0.54,0.63,0.77,0.87,0.58,0.66,0.78,0.71,0.85,0.80
Surface downwelling shortwave radiation,rsds,∆W/m²,8.89,22.70,4.64,32.13,5.40,39.57,6.06,41.16,4.86,31.78,1.21,31.24,2.88,20.08,4.35,22.42,0.35,33.22,6.47,31.70,1.52,22.35,-1.16,22.35
Total cloud cover percentage,clt,∆%,-7.45,19.86,-3.40,23.59,-5.01,22.68,-6.40,21.57,-5.18,17.37,-3.62,15.85,-3.90,12.57,-6.51,14.54,-2.81,21.59,-8.22,22.27,-3.20,19.24,-1.25,19.62
Snow depth,snd,fraction,0.04,0.93,0.93,0.95,0.91,0.91,0.91,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.03,0.94,0.97
Near surface specific humidity,huss,∆kg/kg,0.000568,0.001246,0.000699,0.001404,0.000686,0.001274,0.000636,0.001207,0.000624,0.001378,0.001148,0.001533,0.001126,0.001608,0.001308,0.001370,0.001565,0.001780,0.001180,0.001818,0.000817,0.001446,0.000853,0.001616
Air pressure at mean sea level,psl,∆hPa,0.92,6.73,0.49,7.42,0.73,5.60,-0.50,4.58,-0.23,3.09,-1.00,2.06,-1.19,2.04,-1.29,2.13,-1.39,2.35,1.19,3.63,0.60,5.05,0.01,6.86
Near surface wind speed,sfcWind,fraction,0.9833,0.4132,0.9725,0.4191,1.0114,0.4024,1.0300,0.3817,1.0346,0.3888,0.9909,0.3731,0.9694,0.3095,1.0004,0.3582,0.9314,0.3807,1.0698,0.4618,1.0444,0.4012,0.9785,0.3992
