# EC_Earth3_Veg ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.05,2.27,1.37,2.19,1.49,2.28,2.04,3.96,3.53,4.16,3.72,4.41,2.63,3.54,3.43,2.94,3.35,3.12,3.68,3.23,2.24,2.85,1.72,2.55
Daily maximum near surface air temperature,tasmax,∆°C,2.01,2.41,1.47,3.01,1.53,3.32,2.20,5.15,4.03,5.11,3.93,5.17,2.64,4.02,3.60,3.23,3.40,3.68,3.76,4.11,1.97,3.48,1.81,2.79
Daily minimum near surface air temperature,tasmin,∆°C,2.14,2.67,1.31,2.34,1.45,1.89,1.84,2.81,2.89,3.15,3.44,3.67,2.81,3.05,3.28,2.50,3.36,2.51,3.54,2.38,2.42,2.89,1.65,3.04
Precipitation,pr,fraction,1.10,1.14,1.20,1.27,0.92,0.97,0.89,0.88,0.64,0.70,0.52,0.65,1.51,2.63,0.46,0.79,0.57,0.75,1.02,1.14,1.02,1.08,0.90,1.05
Surface downwelling shortwave radiation,rsds,∆W/m²,2.39,20.66,6.62,29.56,7.68,37.49,12.07,40.16,23.60,39.29,9.62,28.87,3.11,17.34,3.78,11.50,2.31,19.93,4.60,25.15,0.15,19.93,4.50,19.93
Total cloud cover percentage,clt,∆%,3.40,23.54,-1.98,32.50,-1.41,25.81,-1.97,22.95,-11.20,17.12,-3.79,14.68,-1.21,14.98,-2.96,15.46,-2.81,19.39,-0.73,21.63,-0.33,26.40,-4.61,24.26
Snow depth,snd,fraction,0.01,0.23,3.12,7.77,0.34,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.35
Near surface specific humidity,huss,∆kg/kg,0.000763,0.001108,0.000444,0.001222,0.000496,0.001544,0.000604,0.001617,0.000510,0.001815,0.000376,0.002106,0.001062,0.001762,0.000803,0.001448,0.001159,0.001671,0.001437,0.001645,0.000957,0.001717,0.000622,0.001407
Air pressure at mean sea level,psl,∆hPa,-0.28,6.18,-0.35,8.77,0.22,6.58,1.12,4.01,0.39,3.21,-0.45,2.01,-1.10,2.00,-0.70,1.49,-0.16,1.97,0.82,3.93,-0.89,5.38,0.11,7.48
Near surface wind speed,sfcWind,fraction,0.9569,0.4033,1.0037,0.4299,0.9585,0.3889,0.9160,0.3594,0.9373,0.3857,0.9880,0.3637,1.0078,0.2723,0.9939,0.2716,0.9883,0.3357,0.9130,0.3569,0.9733,0.3876,0.9798,0.4455
