# Ensemble ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.15,0.55,1.17,0.55,1.24,0.57,1.53,0.59,1.90,0.68,2.28,0.64,2.11,0.59,2.08,0.63,2.19,0.44,1.86,0.59,1.49,0.58,1.26,0.53
Daily maximum near surface air temperature,tasmax,∆°C,1.31,0.50,1.28,0.60,1.39,0.67,1.77,0.68,2.12,0.79,2.49,0.80,2.27,0.63,2.24,0.70,2.37,0.52,1.99,0.70,1.66,0.62,1.38,0.50
Daily minimum near surface air temperature,tasmin,∆°C,1.07,0.63,1.09,0.60,1.09,0.59,1.29,0.58,1.67,0.64,2.06,0.56,1.95,0.58,1.88,0.57,2.01,0.45,1.74,0.57,1.38,0.62,1.18,0.58
Precipitation,pr,fraction,1.05,0.25,1.02,0.27,0.96,0.28,0.92,0.21,0.90,0.21,0.79,0.21,0.78,0.25,0.73,0.38,0.81,0.22,0.91,0.12,0.91,0.20,1.01,0.21
Surface downwelling shortwave radiation,rsds,∆W/m²,3.75,3.87,4.10,5.21,6.95,5.11,11.19,5.10,9.70,6.03,8.23,3.90,5.20,3.17,4.74,3.47,5.91,3.76,4.60,3.40,4.35,3.80,3.01,3.80
Total cloud cover percentage,clt,∆%,-1.03,4.21,-0.63,4.81,-1.86,3.55,-3.65,2.88,-2.80,2.27,-2.08,2.12,-1.73,1.28,-2.31,2.53,-2.41,2.77,-2.07,2.79,-2.04,3.22,-1.27,3.51
Snow depth,snd,fraction,1.29,2.25,1.08,1.61,2.12,2.97,1.41,1.93,0.99,0.03,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.01,0.08,1.15,1.03,0.58,0.47
Near surface specific humidity,huss,∆kg/kg,0.000437,0.000306,0.000386,0.000298,0.000321,0.000308,0.000282,0.000334,0.000423,0.000400,0.000477,0.000411,0.000613,0.000495,0.000725,0.000488,0.000763,0.000514,0.000738,0.000445,0.000582,0.000405,0.000493,0.000293
Air pressure at mean sea level,psl,∆hPa,-0.14,1.49,0.02,1.52,0.01,0.96,0.07,0.76,-0.25,0.49,-0.33,0.21,-0.37,0.28,-0.53,0.33,-0.18,0.44,0.00,0.67,0.27,0.92,0.03,1.07
Near surface wind speed,sfcWind,fraction,0.9894,0.0358,0.9872,0.0475,0.9866,0.0359,0.9903,0.0314,0.9969,0.0291,1.0070,0.0490,1.0108,0.0258,0.9984,0.0305,0.9881,0.0288,0.9662,0.0370,0.9677,0.0410,0.9855,0.0412
