# GFDL_ESM4 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.93,2.76,1.83,2.84,3.27,2.90,3.62,3.10,3.65,3.51,4.04,3.16,4.67,2.90,4.10,2.38,3.72,2.96,3.51,3.00,2.93,2.65,2.49,2.96
Daily maximum near surface air temperature,tasmax,∆°C,2.20,2.68,2.33,3.47,3.87,3.28,4.29,3.69,4.09,4.15,4.30,3.72,4.85,3.13,4.03,2.58,3.77,3.47,3.86,3.75,3.39,2.87,2.75,2.71
Daily minimum near surface air temperature,tasmin,∆°C,1.73,3.13,1.44,2.72,2.80,3.06,2.90,2.69,3.27,2.90,3.92,2.59,4.57,2.75,4.19,2.25,3.72,2.49,3.15,2.58,2.51,2.85,2.28,3.45
Precipitation,pr,fraction,0.77,0.75,0.95,0.89,0.68,0.72,0.70,0.64,0.76,0.77,0.65,0.78,0.32,0.40,0.99,1.69,0.68,0.87,0.52,0.51,0.64,0.60,0.81,0.83
Surface downwelling shortwave radiation,rsds,∆W/m²,0.28,22.34,6.66,25.69,9.81,38.44,18.15,39.70,7.07,35.69,0.46,38.49,-6.85,25.74,-9.48,23.99,-1.04,25.24,5.99,27.03,7.13,23.68,1.73,23.68
Total cloud cover percentage,clt,∆%,-1.86,28.34,-5.23,24.49,-5.21,28.50,-16.31,24.19,-8.21,18.22,-4.32,18.18,-2.98,15.02,-3.06,15.16,-5.69,17.80,-6.83,22.40,-6.26,23.30,-0.72,26.14
Snow depth,snd,fraction,0.00,0.08,0.04,0.19,0.02,0.05,0.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14,1.00,0.01,0.96
Near surface specific humidity,huss,∆kg/kg,0.000617,0.001372,0.000440,0.001200,0.000654,0.001577,0.000327,0.001435,0.000330,0.001428,0.000801,0.001866,0.000880,0.001704,0.001252,0.001713,0.001169,0.002038,0.000770,0.001928,0.000686,0.001341,0.000963,0.001576
Air pressure at mean sea level,psl,∆hPa,0.90,8.02,0.11,7.63,1.24,7.19,1.43,4.27,-0.84,2.90,-0.41,2.29,-0.86,1.28,-1.46,1.32,-0.07,2.25,1.79,4.19,1.43,6.46,0.56,7.68
Near surface wind speed,sfcWind,fraction,0.9433,0.4512,0.9725,0.4097,0.9853,0.3958,0.9347,0.3439,1.0191,0.3552,1.0262,0.3605,1.0387,0.2985,0.9994,0.3148,1.0047,0.3225,0.9249,0.3434,0.9281,0.4344,0.9689,0.4349
