# UKESM1_0_LL ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,4.49,2.70,4.54,2.57,4.77,2.36,6.14,3.43,6.59,2.92,5.32,3.23,5.79,3.04,5.64,2.77,6.17,2.61,6.36,2.74,5.47,2.46,4.68,3.18
Daily maximum near surface air temperature,tasmax,∆°C,5.09,3.02,5.50,3.17,5.58,3.88,7.68,4.93,7.78,3.83,5.76,4.09,5.84,3.51,5.76,3.27,6.37,3.54,6.79,3.82,6.29,2.89,5.29,2.85
Daily minimum near surface air temperature,tasmin,∆°C,4.15,3.23,3.87,3.44,4.11,2.35,4.59,2.74,5.31,2.60,4.89,3.12,5.71,3.06,5.57,2.66,6.01,2.56,6.06,3.24,4.95,3.08,4.35,3.81
Precipitation,pr,fraction,0.83,1.10,0.66,0.93,0.72,0.86,0.39,0.46,0.59,0.67,1.19,1.41,0.36,0.62,0.28,0.45,0.56,0.81,0.87,1.01,0.35,0.40,0.73,0.86
Surface downwelling shortwave radiation,rsds,∆W/m²,6.72,28.41,12.66,39.48,11.98,38.04,31.71,41.56,15.81,31.57,3.53,27.08,4.52,18.02,4.13,13.05,4.24,16.20,6.23,23.97,12.12,21.16,7.41,21.16
Total cloud cover percentage,clt,∆%,-6.72,32.88,-9.40,34.79,-12.30,27.29,-18.33,24.12,-14.38,19.95,-8.91,16.39,-8.95,15.48,-7.86,10.57,-14.11,15.71,-15.94,21.97,-14.90,24.35,-12.20,30.01
Snow depth,snd,fraction,0.39,1.00,0.45,1.00,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00
Near surface specific humidity,huss,∆kg/kg,0.001797,0.001625,0.001677,0.001801,0.001609,0.001506,0.001572,0.001830,0.001905,0.001883,0.002298,0.002163,0.002489,0.001837,0.002487,0.001608,0.003077,0.002025,0.003552,0.002455,0.002722,0.001985,0.002064,0.001976
Air pressure at mean sea level,psl,∆hPa,-0.63,8.21,0.93,10.04,-1.01,6.99,-0.29,4.11,-2.24,2.92,-1.18,2.40,-1.26,2.04,-1.88,1.59,-0.27,1.86,-0.22,3.37,0.48,4.83,0.36,7.24
Near surface wind speed,sfcWind,fraction,0.8602,0.4480,0.8738,0.4665,0.9349,0.4025,0.9269,0.3799,1.0088,0.3895,1.0248,0.3414,1.0304,0.3261,1.0101,0.2977,0.9077,0.3217,0.8892,0.3320,0.8132,0.3878,0.8510,0.4212
