# EC_Earth3 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.79,2.39,3.15,2.29,2.58,2.88,4.21,4.24,3.74,4.86,4.36,4.55,3.99,3.48,3.41,3.01,3.40,3.11,3.58,3.58,3.05,2.97,2.42,2.71
Daily maximum near surface air temperature,tasmax,∆°C,1.77,2.31,2.97,2.92,2.69,4.29,4.66,5.65,3.96,5.92,4.61,5.31,4.14,3.94,3.42,3.18,3.44,3.54,3.79,4.31,3.07,3.91,2.20,3.13
Daily minimum near surface air temperature,tasmin,∆°C,1.79,2.90,3.27,2.71,2.49,1.98,3.67,2.84,3.54,3.75,4.14,3.89,3.88,3.03,3.50,2.88,3.47,2.84,3.25,3.04,3.00,2.67,2.53,2.86
Precipitation,pr,fraction,0.91,1.02,1.25,1.44,1.12,1.15,0.70,0.76,0.79,0.86,0.72,0.84,0.71,1.21,2.11,4.07,0.83,1.24,0.62,0.74,1.10,1.20,0.81,0.86
Surface downwelling shortwave radiation,rsds,∆W/m²,1.58,22.18,-3.67,29.65,7.37,39.93,17.03,45.15,12.75,41.39,14.13,30.85,5.42,20.15,3.23,12.70,3.68,18.93,9.48,26.59,3.44,21.53,2.11,21.53
Total cloud cover percentage,clt,∆%,-1.00,26.36,6.39,26.45,0.58,25.82,-8.45,24.90,-5.38,18.38,-6.27,17.03,-3.44,17.55,-4.81,15.12,-5.73,18.52,-9.20,23.42,-5.14,26.18,-2.73,25.24
Snow depth,snd,fraction,0.28,0.60,0.00,0.34,0.00,1.00,0.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.46,1.00,0.13,0.29
Near surface specific humidity,huss,∆kg/kg,0.000711,0.001258,0.001298,0.001391,0.001031,0.001731,0.000876,0.001667,0.000886,0.001617,0.000722,0.002079,0.000881,0.001772,0.001320,0.001597,0.001183,0.001918,0.001021,0.002063,0.000859,0.001811,0.000916,0.001309
Air pressure at mean sea level,psl,∆hPa,-0.64,7.53,-1.08,8.42,0.14,7.00,0.73,3.69,-1.39,2.86,-0.43,1.72,-0.89,1.71,-1.48,1.92,-0.50,1.77,1.15,4.29,0.01,5.85,-0.61,6.64
Near surface wind speed,sfcWind,fraction,0.9537,0.4168,1.0199,0.4610,0.9590,0.4052,0.9443,0.3538,0.9494,0.3687,1.0369,0.3913,1.0413,0.3032,0.9816,0.2547,0.9802,0.3455,0.9338,0.3691,1.0168,0.4303,1.0109,0.4328
