# CMCC_ESM2 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.51,1.96,1.71,2.43,1.84,2.96,2.72,4.11,2.84,4.49,2.41,3.70,1.82,3.05,1.44,2.67,2.75,2.42,2.16,2.51,2.20,2.61,1.94,2.01
Daily maximum near surface air temperature,tasmax,∆°C,1.37,2.16,1.72,3.03,2.02,3.97,3.04,4.88,2.90,5.12,2.40,4.10,1.91,3.36,1.47,2.93,2.71,2.69,2.01,2.78,2.21,2.81,1.90,1.91
Daily minimum near surface air temperature,tasmin,∆°C,1.57,2.13,1.68,2.41,1.75,2.50,2.47,3.46,2.73,3.82,2.46,3.37,1.83,2.83,1.52,2.43,2.77,2.28,2.32,2.48,2.22,2.76,1.98,2.47
Precipitation,pr,fraction,1.26,1.57,0.87,1.09,0.84,1.04,0.63,0.70,0.91,0.98,0.86,1.06,0.62,1.01,0.30,0.49,1.46,1.66,0.89,1.05,0.77,0.82,1.28,1.46
Surface downwelling shortwave radiation,rsds,∆W/m²,0.84,19.85,2.84,28.41,5.87,39.64,11.73,41.03,5.83,37.86,3.26,36.02,0.46,18.00,0.52,15.12,-2.71,19.63,2.15,23.19,1.87,20.46,0.91,20.46
Total cloud cover percentage,clt,∆%,0.08,21.64,-2.39,27.83,-2.74,25.78,-4.41,21.15,-5.43,17.84,-1.76,16.73,-0.36,10.14,-1.32,9.02,-0.61,14.52,-2.75,21.00,-1.69,22.39,-2.20,27.80
Snow depth,snd,fraction,0.80,0.80,2.03,0.93,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.00,0.28,1.00
Near surface specific humidity,huss,∆kg/kg,0.000631,0.001251,0.000666,0.001413,0.000419,0.001888,0.000195,0.001776,0.000390,0.001622,0.000899,0.002211,0.001199,0.002243,0.001442,0.001839,0.001105,0.002030,0.001084,0.001957,0.001028,0.001594,0.000890,0.001527
Air pressure at mean sea level,psl,∆hPa,-0.81,5.49,0.21,7.23,0.96,6.30,-0.08,3.56,-0.65,2.46,-0.03,1.33,-0.59,1.67,-0.50,1.81,-0.29,1.63,-0.17,2.91,0.47,5.17,-1.01,6.15
Near surface wind speed,sfcWind,fraction,1.0454,0.3903,0.9656,0.3694,1.0360,0.4267,0.9987,0.3522,1.0161,0.3410,1.0226,0.3583,1.0224,0.3243,1.0173,0.3250,0.9792,0.3043,0.9913,0.3869,0.9636,0.3709,1.0065,0.3919
