# CanESM5_CanOE ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.56,2.11,3.19,2.24,4.16,3.20,4.04,3.20,4.99,3.68,5.59,3.37,6.60,3.03,6.11,2.37,6.99,2.25,6.24,2.71,4.84,2.02,3.52,2.28
Daily maximum near surface air temperature,tasmax,∆°C,3.70,2.54,3.39,3.47,4.64,4.20,4.06,4.35,5.10,4.78,5.47,4.11,6.44,4.13,5.52,3.05,6.78,3.29,6.58,3.41,5.24,2.73,3.87,2.30
Daily minimum near surface air temperature,tasmin,∆°C,3.52,2.51,3.05,2.01,3.71,2.87,4.08,2.47,4.85,2.98,5.48,2.94,6.42,2.33,6.20,2.27,6.98,2.10,6.01,2.73,4.71,2.28,3.43,2.86
Precipitation,pr,fraction,0.97,1.15,0.95,1.30,0.74,0.96,1.02,1.13,0.71,0.84,0.69,0.85,0.46,0.63,0.16,0.23,0.58,0.70,0.43,0.47,0.52,0.56,0.62,0.66
Surface downwelling shortwave radiation,rsds,∆W/m²,0.88,26.16,4.45,33.08,9.51,34.43,1.92,33.31,9.58,38.86,4.19,23.92,-1.34,20.62,-2.96,17.20,0.50,24.23,5.59,28.33,9.25,25.18,7.49,25.18
Total cloud cover percentage,clt,∆%,-5.10,28.24,-7.79,28.46,-6.13,26.14,-8.28,18.52,-10.76,18.39,-8.37,13.16,-4.39,13.09,-3.33,11.87,-6.88,18.36,-10.98,25.52,-11.75,26.69,-9.35,27.65
Snow depth,snd,fraction,0.05,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05,1.00
Near surface specific humidity,huss,∆kg/kg,0.001266,0.001350,0.000838,0.001367,0.001007,0.001439,0.001123,0.001452,0.001367,0.001789,0.002236,0.002082,0.002462,0.002503,0.003282,0.001922,0.003532,0.002298,0.002901,0.001741,0.002153,0.001360,0.001342,0.001451
Air pressure at mean sea level,psl,∆hPa,-1.17,7.48,-2.11,6.75,-1.70,5.65,-1.55,4.27,-1.48,2.66,-2.25,2.27,-3.20,1.74,-4.15,2.43,-2.76,2.52,-0.84,3.78,-0.27,5.39,0.18,7.01
Near surface wind speed,sfcWind,fraction,0.9810,0.4921,0.9732,0.4765,0.8407,0.3663,0.9414,0.3649,0.9261,0.3690,0.9148,0.3620,0.9600,0.3679,0.9854,0.3563,0.9534,0.3837,0.8124,0.3261,0.7990,0.3597,0.8268,0.4006
