# CNRM_CM6_1_HR ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.41,2.40,2.74,2.76,2.52,2.73,3.72,3.06,3.53,3.70,5.68,3.95,4.63,3.14,4.46,2.34,5.06,2.81,3.46,2.73,2.81,2.52,2.68,2.53
Daily maximum near surface air temperature,tasmax,∆°C,2.38,2.81,3.00,2.97,2.85,3.62,4.30,4.35,3.87,4.79,6.44,5.00,4.95,3.73,4.79,2.76,5.51,3.77,3.52,3.75,2.89,3.03,2.84,2.98
Daily minimum near surface air temperature,tasmin,∆°C,2.33,2.79,2.55,3.30,2.22,2.65,3.26,2.25,3.37,2.79,5.05,3.11,4.57,2.69,4.30,2.24,4.73,2.29,3.43,2.31,2.84,2.72,2.66,2.73
Precipitation,pr,fraction,0.93,0.95,0.73,0.75,0.95,0.96,0.76,0.71,0.95,0.98,0.30,0.37,0.41,0.64,0.27,0.38,0.48,0.59,0.77,0.73,0.88,0.76,0.86,0.90
Surface downwelling shortwave radiation,rsds,∆W/m²,-1.07,25.18,3.98,34.89,7.60,41.48,14.35,44.54,5.85,36.77,17.90,32.87,5.15,25.53,6.99,25.50,11.00,30.63,3.69,30.24,-0.20,23.22,1.79,23.22
Total cloud cover percentage,clt,∆%,1.78,27.16,-1.27,30.84,-4.79,25.00,-6.87,22.70,-7.39,15.83,-6.74,13.61,-5.36,14.94,-6.57,17.91,-6.21,20.92,-4.39,23.36,-2.92,21.83,-1.61,23.01
Snow depth,snd,fraction,0.74,1.65,0.45,0.69,0.57,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.32
Near surface specific humidity,huss,∆kg/kg,0.000882,0.001276,0.000878,0.001608,0.000386,0.001486,0.000579,0.001367,0.000776,0.001575,0.000539,0.001892,0.001523,0.001728,0.001265,0.001845,0.000872,0.002256,0.001109,0.002299,0.001095,0.001447,0.000941,0.001388
Air pressure at mean sea level,psl,∆hPa,1.76,9.02,2.70,8.25,0.11,7.43,1.01,5.42,-0.31,3.40,-0.54,2.17,-0.97,1.72,-1.26,1.84,0.51,2.51,-0.11,4.27,1.01,6.39,2.23,6.98
Near surface wind speed,sfcWind,fraction,0.9867,0.5039,0.9464,0.4916,0.9895,0.4849,0.9280,0.4203,1.0348,0.3902,1.0289,0.3726,1.0663,0.3327,1.0669,0.3639,0.9989,0.3918,0.9496,0.3916,0.9423,0.3852,0.9662,0.5222
