# CAS_ESM2_0 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.45,1.76,2.20,1.76,2.03,2.03,2.53,2.46,3.44,2.06,2.67,2.16,2.54,1.76,2.61,1.85,2.91,2.30,2.63,1.80,2.52,1.67,2.57,1.44
Daily maximum near surface air temperature,tasmax,∆°C,2.45,1.87,2.25,1.81,2.03,2.16,2.62,2.62,3.53,2.13,2.66,2.17,2.61,1.77,2.57,1.81,2.90,2.36,2.66,1.94,2.48,1.76,2.56,1.44
Daily minimum near surface air temperature,tasmin,∆°C,2.44,1.72,2.16,1.75,2.05,1.95,2.45,2.28,3.32,1.97,2.69,2.19,2.51,1.83,2.65,1.92,2.91,2.18,2.59,1.70,2.55,1.65,2.60,1.51
Precipitation,pr,fraction,1.02,1.09,0.69,0.69,0.96,0.94,0.73,0.65,0.44,0.54,0.77,1.10,0.57,0.82,0.55,0.76,1.04,1.24,0.85,0.82,1.00,0.96,0.63,0.65
Surface downwelling shortwave radiation,rsds,∆W/m²,3.71,26.16,14.00,40.35,9.18,42.46,13.56,38.90,11.20,29.42,-1.94,27.92,3.69,18.13,-1.26,19.12,1.36,27.80,6.66,30.34,2.93,27.80,10.33,27.80
Total cloud cover percentage,clt,∆%,-2.35,23.71,-5.84,28.56,-2.61,21.62,-6.55,20.96,-1.41,15.21,1.28,12.85,-2.78,7.60,2.08,14.42,-0.13,18.15,-2.95,19.64,-3.11,18.46,-6.47,19.60
Snow depth,snd,fraction,1.00,1.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.001124,0.001282,0.000849,0.001458,0.001018,0.001438,0.001299,0.001653,0.002121,0.001447,0.001882,0.002023,0.002250,0.001942,0.002548,0.002329,0.002585,0.002249,0.001783,0.001583,0.001643,0.001278,0.001126,0.001123
Air pressure at mean sea level,psl,∆hPa,0.80,7.64,1.78,9.59,0.24,5.25,0.53,3.66,-0.45,2.05,-0.52,1.65,-0.32,1.66,-0.66,1.52,-0.47,1.84,0.21,3.20,0.12,6.21,2.46,7.15
Near surface wind speed,sfcWind,fraction,1.0222,0.4387,0.9646,0.4570,0.8885,0.3666,0.9926,0.4133,0.9915,0.4079,0.9710,0.3847,1.0058,0.4079,1.0062,0.4043,0.9878,0.4896,0.9334,0.3902,0.9589,0.4388,0.9328,0.4274
