# MIROC6 ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.53,2.22,2.53,2.54,3.06,2.92,4.77,3.63,6.01,5.11,5.43,4.76,4.50,3.14,4.20,2.96,6.07,3.09,5.29,3.28,3.27,2.42,2.19,2.24
Daily maximum near surface air temperature,tasmax,∆°C,2.96,2.43,3.00,3.18,3.56,4.47,6.08,5.25,7.47,6.67,6.34,5.75,5.16,3.53,4.66,3.44,7.05,3.87,6.16,4.54,3.44,3.35,2.59,2.33
Daily minimum near surface air temperature,tasmin,∆°C,2.28,2.61,2.22,2.61,2.66,2.18,3.71,2.54,4.85,3.85,4.88,3.88,4.07,2.76,4.00,2.61,5.46,2.56,4.74,2.56,3.23,2.11,1.99,2.53
Precipitation,pr,fraction,0.79,0.90,0.83,0.87,0.98,0.94,0.62,0.63,0.45,0.51,0.58,0.80,0.30,0.35,0.53,0.67,0.27,0.33,0.69,0.78,1.14,1.20,0.77,0.75
Surface downwelling shortwave radiation,rsds,∆W/m²,5.70,31.22,3.92,37.90,3.53,44.59,17.48,44.77,17.80,34.90,3.61,30.20,8.18,22.85,1.89,23.14,10.67,21.01,9.23,25.78,1.09,20.60,5.75,20.60
Total cloud cover percentage,clt,∆%,-3.62,28.18,-1.92,28.47,-2.01,22.56,-7.49,19.52,-7.02,14.13,-0.80,12.34,-5.40,11.41,-4.96,9.33,-10.37,10.93,-7.24,17.00,-2.73,19.03,-6.58,23.90
Snow depth,snd,fraction,0.87,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000829,0.001618,0.000641,0.001896,0.000850,0.001737,0.000516,0.001907,0.000410,0.001526,0.001088,0.001755,0.001003,0.001779,0.001548,0.002062,0.001518,0.001991,0.000764,0.001694,0.001113,0.001878,0.000598,0.001784
Air pressure at mean sea level,psl,∆hPa,1.44,7.82,0.43,6.79,-0.19,4.14,0.32,3.28,-0.52,1.98,-1.11,1.87,-0.70,1.73,-1.11,1.75,-0.92,1.89,-0.33,3.13,-0.32,4.59,1.82,6.24
Near surface wind speed,sfcWind,fraction,0.9144,0.4096,0.9705,0.4012,1.0051,0.3738,0.9657,0.3631,1.0256,0.3477,1.0712,0.3843,1.1117,0.4230,1.0911,0.3935,1.0359,0.3905,1.0021,0.4045,0.9868,0.4238,0.9011,0.3953
