# CanESM5 ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.16,2.37,1.78,2.21,1.36,2.68,0.96,3.46,0.86,3.03,2.04,3.72,2.53,3.01,2.94,2.16,2.68,2.20,2.52,2.58,1.70,1.99,1.74,2.09
Daily maximum near surface air temperature,tasmax,∆°C,1.21,2.57,1.70,3.47,1.21,4.15,0.68,5.04,0.62,4.10,2.16,4.88,2.55,4.25,3.27,2.95,2.75,3.24,2.77,3.48,1.73,2.88,1.81,2.19
Daily minimum near surface air temperature,tasmin,∆°C,1.12,2.90,1.89,2.44,1.54,1.98,1.42,2.34,1.16,2.15,1.94,2.83,2.27,2.44,2.33,2.11,2.55,2.17,2.31,2.55,1.72,2.17,1.65,2.55
Precipitation,pr,fraction,1.69,2.21,1.56,1.92,1.36,1.53,1.49,1.74,1.46,1.69,0.94,1.19,0.76,1.02,0.90,1.23,1.10,1.34,0.85,0.90,0.90,1.02,0.83,0.97
Surface downwelling shortwave radiation,rsds,∆W/m²,-2.83,30.71,-5.03,37.22,-0.09,36.39,-4.63,34.28,2.93,36.39,5.42,25.80,4.29,23.01,3.34,17.75,-1.78,25.14,0.84,26.58,2.72,26.39,0.27,26.39
Total cloud cover percentage,clt,∆%,5.42,30.84,7.94,30.32,1.81,28.62,3.57,21.20,1.67,18.38,-1.23,16.14,-1.93,14.65,-2.27,12.02,1.38,21.62,2.35,20.60,-0.55,26.92,2.29,26.09
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000774,0.001504,0.000940,0.001296,0.000703,0.001200,0.000903,0.001084,0.000871,0.001458,0.000763,0.002062,0.000745,0.002493,0.000940,0.001760,0.001745,0.002230,0.001460,0.001755,0.000919,0.001393,0.000815,0.001359
Air pressure at mean sea level,psl,∆hPa,-3.79,8.32,-2.35,8.13,-2.01,6.98,-1.67,4.05,-0.92,2.56,-0.51,2.38,-0.53,2.03,-1.37,1.91,-1.11,2.47,-1.20,3.76,-0.62,5.92,-0.87,7.65
Near surface wind speed,sfcWind,fraction,0.9857,0.5295,0.9650,0.5258,1.0017,0.4315,1.0413,0.4538,0.9886,0.4184,1.0088,0.3788,1.0292,0.3962,0.9788,0.3847,0.9554,0.4018,0.9359,0.4163,0.9529,0.4585,0.9890,0.5245
