# CNRM_ESM2_1 ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.26,2.62,2.34,2.91,2.33,2.70,3.88,3.29,4.61,4.55,5.65,3.58,4.05,2.92,4.26,2.42,4.00,2.72,4.01,3.24,2.88,2.88,2.47,2.65
Daily maximum near surface air temperature,tasmax,∆°C,2.52,2.27,2.45,3.36,2.66,3.33,4.53,4.30,4.96,5.85,5.85,4.10,4.27,3.24,4.55,2.95,3.86,3.50,4.10,4.15,2.74,3.72,2.29,2.50
Daily minimum near surface air temperature,tasmin,∆°C,2.13,3.42,2.26,3.38,2.10,3.04,3.40,2.80,4.35,3.59,5.69,3.16,4.12,2.87,4.18,2.17,4.37,2.28,4.12,2.92,3.01,3.14,2.65,3.12
Precipitation,pr,fraction,0.77,0.82,0.93,1.00,0.65,0.71,0.40,0.41,0.43,0.49,0.38,0.51,0.44,0.81,0.41,0.71,1.23,1.55,0.77,0.82,0.72,0.74,1.01,0.98
Surface downwelling shortwave radiation,rsds,∆W/m²,2.86,28.88,4.26,38.68,12.43,41.32,25.31,36.82,21.04,44.54,16.91,31.08,8.28,27.29,10.44,30.02,-3.38,28.19,2.45,28.70,0.69,31.73,-2.26,31.73
Total cloud cover percentage,clt,∆%,-2.59,33.31,-3.22,27.80,-7.73,28.66,-9.84,21.92,-8.69,20.56,-8.10,16.88,-1.73,17.29,-8.74,17.34,0.27,16.25,-3.16,23.51,0.20,26.72,2.81,28.99
Snow depth,snd,fraction,0.00,0.00,0.31,0.81,9.58,817.72,0.00,0.97,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,0.10,0.12,0.00,0.01
Near surface specific humidity,huss,∆kg/kg,0.000746,0.001560,0.000644,0.001616,0.000124,0.001489,-0.000143,0.001358,-0.000399,0.001911,0.000171,0.002133,0.000661,0.001677,0.001012,0.001847,0.001825,0.002238,0.001634,0.002019,0.000963,0.001937,0.000942,0.001515
Air pressure at mean sea level,psl,∆hPa,2.39,9.92,1.28,9.82,2.10,7.62,1.63,4.57,0.28,3.36,-0.26,2.28,-1.14,1.72,-0.99,1.77,-0.30,2.01,1.68,4.01,0.73,6.67,1.08,7.72
Near surface wind speed,sfcWind,fraction,0.9003,0.4446,0.9694,0.5007,1.0000,0.4813,1.0311,0.4363,1.0838,0.4632,1.1668,0.4990,1.0324,0.3793,0.9883,0.3126,0.9526,0.3859,0.9144,0.4190,0.9094,0.4172,0.9956,0.4657
