# MIROC6 ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.27,2.28,1.86,2.25,1.18,2.68,2.19,3.88,2.65,4.73,3.44,4.32,2.84,3.05,2.20,2.84,3.49,3.32,3.06,3.00,1.48,2.74,1.38,2.19
Daily maximum near surface air temperature,tasmax,∆°C,1.66,2.42,2.20,2.92,1.59,4.00,2.78,5.63,3.31,6.39,4.21,5.37,3.28,3.52,2.56,3.38,4.19,4.39,3.74,4.22,1.95,3.76,1.70,2.51
Daily minimum near surface air temperature,tasmin,∆°C,1.04,2.66,1.66,2.36,0.82,2.24,1.72,2.64,2.08,3.38,2.89,3.43,2.53,2.62,2.05,2.47,2.99,2.58,2.59,2.31,1.19,2.41,1.20,2.48
Precipitation,pr,fraction,0.70,0.79,0.81,0.85,1.10,1.09,0.87,0.80,0.85,0.91,0.62,0.87,0.62,0.70,0.74,0.98,0.48,0.71,0.71,0.71,0.72,0.80,1.07,1.09
Surface downwelling shortwave radiation,rsds,∆W/m²,5.57,30.18,1.77,35.91,8.36,45.94,5.19,42.00,9.69,35.11,8.30,25.05,6.03,21.98,6.60,23.21,9.27,22.34,8.55,25.57,8.23,20.98,2.66,20.98
Total cloud cover percentage,clt,∆%,-2.23,26.81,0.76,27.11,-4.04,23.45,-2.38,18.63,-2.25,13.49,-3.16,9.89,-3.65,10.22,-4.17,11.06,-6.64,10.80,-5.35,16.40,-6.65,19.26,-2.35,24.83
Snow depth,snd,fraction,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000404,0.001596,0.000507,0.001784,0.000065,0.001902,0.000326,0.001793,0.000239,0.001323,0.000599,0.001672,0.000399,0.001823,0.000717,0.001793,0.000295,0.002104,0.000210,0.001602,-0.000005,0.001685,0.000356,0.001683
Air pressure at mean sea level,psl,∆hPa,0.82,7.77,0.39,6.87,-0.56,5.01,-0.20,2.80,0.04,2.13,-0.74,1.63,-0.44,1.82,-0.94,1.79,-0.10,1.79,0.35,2.61,-0.04,5.01,0.36,7.28
Near surface wind speed,sfcWind,fraction,0.9004,0.3947,0.9962,0.4298,1.0378,0.3878,0.9794,0.3693,1.0284,0.3123,1.0352,0.3517,1.0574,0.4121,1.0775,0.3777,1.0250,0.3783,1.0065,0.4200,0.9529,0.4099,0.9498,0.4367
