# CNRM_CM6_1 ssp585 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.25,2.01,1.51,2.52,1.08,2.65,1.55,4.12,2.46,3.88,2.94,3.82,2.49,2.94,3.11,2.67,3.26,3.05,2.93,3.25,1.52,2.42,1.21,2.76
Daily maximum near surface air temperature,tasmax,∆°C,1.59,1.92,1.86,2.99,1.21,3.55,1.88,5.51,2.82,4.71,3.26,4.67,2.78,3.41,3.43,3.17,3.50,3.88,3.26,4.06,1.80,2.74,1.38,2.66
Daily minimum near surface air temperature,tasmin,∆°C,1.08,2.60,1.22,2.89,0.96,2.68,1.25,3.13,2.13,3.20,2.75,3.10,2.30,2.65,2.89,2.46,3.10,2.53,2.71,2.95,1.27,2.80,1.07,3.27
Precipitation,pr,fraction,0.66,0.62,0.89,0.95,0.90,0.91,0.75,0.73,0.75,0.74,0.80,0.98,0.59,0.89,0.62,0.96,0.84,1.04,0.69,0.63,0.86,0.77,0.98,0.96
Surface downwelling shortwave radiation,rsds,∆W/m²,4.54,27.35,4.99,35.95,3.35,41.74,12.99,44.41,8.75,37.78,7.91,34.68,9.47,26.69,4.65,23.91,5.82,30.28,8.87,27.96,6.09,26.89,3.11,26.89
Total cloud cover percentage,clt,∆%,-2.82,30.54,-1.47,30.09,-1.68,29.91,-5.81,23.15,-2.87,17.49,-1.92,14.98,-5.08,13.39,-4.09,19.10,-0.95,20.90,-4.11,23.39,-5.85,28.30,-2.93,30.12
Snow depth,snd,fraction,0.10,0.25,9.01,28919.95,0.37,0.75,0.96,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00,9.59,20781.83,0.01,0.02
Near surface specific humidity,huss,∆kg/kg,0.000323,0.001276,0.000357,0.001519,0.000105,0.001594,0.000004,0.001308,0.000108,0.001325,0.000496,0.001738,0.000448,0.001421,0.000546,0.001530,0.000705,0.001886,0.000984,0.002078,0.000351,0.001629,0.000390,0.001490
Air pressure at mean sea level,psl,∆hPa,3.03,10.03,1.54,9.32,0.14,7.13,0.11,5.31,0.22,2.96,-0.44,2.03,-0.44,1.83,0.04,1.68,-0.07,2.11,1.36,4.44,1.05,6.48,1.51,8.27
Near surface wind speed,sfcWind,fraction,0.9584,0.4257,0.9957,0.4782,1.0226,0.4516,1.0005,0.3986,1.0153,0.3807,1.0797,0.3777,1.0504,0.3654,1.0311,0.3346,0.9562,0.4060,0.9429,0.4223,0.9046,0.4296,1.0016,0.4521
