# MRI_ESM2_0 ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.41,2.57,1.25,2.63,1.24,2.69,0.62,2.89,2.02,3.57,2.28,3.84,2.69,4.60,3.41,3.46,2.66,3.12,1.64,3.27,1.05,2.61,1.57,2.46
Daily maximum near surface air temperature,tasmax,∆°C,1.42,2.55,1.14,2.92,1.35,3.73,0.76,3.79,2.43,4.60,2.49,4.86,2.74,5.80,3.70,4.46,3.09,3.83,1.55,4.45,1.10,3.10,1.61,2.37
Daily minimum near surface air temperature,tasmin,∆°C,1.40,2.84,1.37,2.89,1.14,2.52,0.42,2.45,1.63,2.76,2.15,2.92,2.73,3.58,3.12,2.64,2.24,2.75,1.70,2.74,0.98,2.69,1.47,2.77
Precipitation,pr,fraction,1.29,1.43,0.82,1.02,0.94,1.18,0.76,0.79,0.62,0.64,0.90,1.02,1.31,1.69,0.85,1.27,0.47,0.57,0.94,1.02,0.96,1.03,1.09,1.11
Surface downwelling shortwave radiation,rsds,∆W/m²,-2.43,29.22,-4.98,37.66,0.56,54.15,5.92,44.35,11.63,42.84,-1.31,34.25,-3.60,20.86,-0.29,19.01,5.34,20.86,-5.18,30.70,2.26,26.39,-0.92,26.39
Total cloud cover percentage,clt,∆%,3.52,28.85,6.24,34.41,0.99,34.99,-5.19,24.90,-9.07,20.32,-1.99,16.73,-0.58,14.74,-1.57,13.75,-4.72,20.67,3.46,25.06,2.59,26.39,4.82,28.49
Snow depth,snd,fraction,0.96,1.00,0.99,1.05,1.35,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00
Near surface specific humidity,huss,∆kg/kg,0.000576,0.001575,0.000439,0.001484,0.000287,0.001737,-0.000009,0.001367,0.000259,0.001578,0.000668,0.002249,0.001175,0.002702,0.000767,0.002216,0.000372,0.001877,0.000933,0.001916,0.000615,0.001521,0.000621,0.001684
Air pressure at mean sea level,psl,∆hPa,-1.26,10.39,-0.57,11.44,0.20,10.88,0.30,4.64,-0.00,4.06,-1.13,2.44,-1.06,1.75,-1.54,2.05,-0.48,2.94,-0.80,4.45,-0.64,7.95,-0.72,9.23
Near surface wind speed,sfcWind,fraction,1.0447,0.4781,1.0151,0.4538,1.0078,0.4644,1.0235,0.3752,0.9782,0.3260,0.9968,0.3311,0.9833,0.3892,1.0039,0.3561,0.9947,0.3286,0.9923,0.3874,0.9486,0.3925,1.0327,0.4640
