# IPSL_CM6A_LR ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.68,2.36,1.18,2.14,0.70,2.34,1.65,2.98,2.03,3.06,1.55,3.36,1.69,2.97,3.32,2.64,2.22,2.39,2.17,2.67,1.92,1.85,1.77,2.33
Daily maximum near surface air temperature,tasmax,∆°C,2.22,2.63,1.39,2.93,0.72,3.32,2.22,4.19,2.42,4.19,1.71,4.37,1.96,3.60,3.92,2.95,2.34,2.96,2.58,3.44,2.50,2.59,2.20,2.83
Daily minimum near surface air temperature,tasmin,∆°C,1.43,2.66,1.02,2.05,0.75,2.05,1.12,2.03,1.62,2.21,1.47,2.59,1.52,2.60,2.78,2.61,2.25,2.22,1.89,2.40,1.57,2.07,1.49,2.61
Precipitation,pr,fraction,0.68,0.77,0.79,0.91,1.03,1.12,0.53,0.56,0.60,0.68,0.75,1.06,0.39,0.61,0.43,0.60,0.55,0.86,0.65,0.83,0.34,0.39,0.87,1.00
Surface downwelling shortwave radiation,rsds,∆W/m²,8.49,26.20,5.06,36.86,-3.94,43.54,16.98,49.88,15.29,49.74,-2.16,40.81,-1.06,20.17,-3.09,15.93,0.20,30.56,7.17,29.73,8.69,30.51,5.07,30.51
Total cloud cover percentage,clt,∆%,-10.05,22.58,-5.17,27.98,0.72,24.89,-10.66,25.62,-8.44,23.05,-2.52,19.21,-2.29,11.63,-0.78,8.86,-3.08,16.53,-8.11,21.05,-9.63,27.04,-6.58,27.58
Snow depth,snd,fraction,0.53,0.59,0.49,0.49,4.28,31.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.63,0.71
Near surface specific humidity,huss,∆kg/kg,0.000524,0.001281,0.000232,0.001063,0.000165,0.001090,0.000097,0.000895,0.000201,0.001030,0.000359,0.001474,0.000292,0.001930,0.000828,0.001719,0.001008,0.001573,0.000577,0.001497,0.000583,0.001366,0.000607,0.001368
Air pressure at mean sea level,psl,∆hPa,2.27,8.19,0.75,9.20,-0.67,7.19,2.53,5.37,-0.39,3.46,-0.95,2.31,-1.01,1.91,-1.17,2.04,-1.13,1.88,-0.01,4.16,1.83,6.93,0.02,9.21
Near surface wind speed,sfcWind,fraction,0.9086,0.4507,0.9765,0.4734,1.0068,0.4664,0.8946,0.4522,0.9294,0.3654,0.9647,0.3693,0.9963,0.4225,0.9247,0.3862,0.9498,0.4057,0.9835,0.4528,0.8469,0.3933,0.9173,0.4657
