# EC_Earth3 ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.04,2.57,1.95,2.26,1.99,3.49,2.18,3.97,1.98,4.52,3.06,3.84,3.44,3.02,2.28,3.09,2.21,2.64,2.49,3.26,1.53,3.06,1.74,2.62
Daily maximum near surface air temperature,tasmax,∆°C,1.25,2.60,2.16,2.82,2.30,5.08,2.34,5.30,2.07,5.67,3.39,4.52,3.61,3.46,2.41,3.32,2.50,3.02,2.77,4.12,1.74,4.06,1.56,2.87
Daily minimum near surface air temperature,tasmin,∆°C,0.91,3.13,1.77,2.47,1.64,2.21,2.02,2.64,1.90,3.24,2.68,3.27,3.31,2.69,2.25,2.83,1.98,2.48,2.24,2.53,1.41,2.60,1.88,3.02
Precipitation,pr,fraction,0.88,1.02,0.80,0.84,0.89,0.94,1.02,1.01,1.25,1.32,0.51,0.62,0.55,0.95,0.84,1.43,0.63,0.88,1.07,1.11,0.92,0.94,1.59,1.80
Surface downwelling shortwave radiation,rsds,∆W/m²,5.26,23.38,8.06,23.84,10.36,44.16,9.56,44.73,6.13,44.87,17.54,29.49,5.98,20.52,4.65,12.46,7.50,15.97,7.74,27.27,6.01,19.62,0.39,19.62
Total cloud cover percentage,clt,∆%,-5.14,27.99,-1.74,26.52,-1.42,29.60,-4.43,22.58,-1.55,20.96,-6.44,16.71,1.09,18.59,-3.19,17.74,-4.24,17.39,-5.64,24.45,-4.14,21.91,2.73,24.66
Snow depth,snd,fraction,0.20,0.40,0.08,0.30,3.36,8.67,0.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.46,1.00,0.17,0.39
Near surface specific humidity,huss,∆kg/kg,0.000362,0.001330,0.000540,0.001272,0.000500,0.001617,0.000485,0.001485,0.000808,0.001675,0.000379,0.001865,0.000511,0.001818,0.000904,0.001495,0.000631,0.001774,0.001058,0.002016,0.000522,0.001418,0.000690,0.001360
Air pressure at mean sea level,psl,∆hPa,0.15,8.02,0.86,7.55,0.92,7.23,-0.39,3.63,-1.08,2.76,-0.24,1.83,-0.52,1.56,-0.85,1.70,-0.10,1.89,0.92,4.40,0.09,5.97,-1.62,8.00
Near surface wind speed,sfcWind,fraction,0.9564,0.4499,1.0000,0.3979,0.9416,0.3995,0.9743,0.3929,0.9146,0.3553,1.0115,0.3637,1.0146,0.3008,0.9807,0.2507,0.9683,0.3289,0.9486,0.3665,1.0031,0.4298,1.0207,0.4927
