# MIROC_ES2H ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.15,2.40,1.80,2.19,2.10,2.86,3.68,3.94,5.23,4.66,5.84,4.51,4.66,3.44,3.60,3.57,5.10,3.55,2.78,3.28,2.59,2.57,1.61,2.21
Daily maximum near surface air temperature,tasmax,∆°C,2.24,2.21,2.09,2.59,2.49,4.48,4.83,5.76,6.68,6.28,6.89,5.71,5.33,4.01,4.04,4.07,6.23,4.50,3.24,4.79,3.65,3.55,2.20,2.27
Daily minimum near surface air temperature,tasmin,∆°C,2.16,2.85,1.65,2.56,1.79,2.16,2.78,2.75,3.99,3.47,4.94,3.57,4.09,2.94,3.21,3.10,4.20,2.95,2.46,2.59,1.92,2.34,1.29,2.56
Precipitation,pr,fraction,0.97,0.91,1.00,0.99,0.78,0.77,0.69,0.69,0.45,0.47,0.27,0.34,0.58,0.68,0.36,0.46,0.45,0.58,0.80,0.86,0.52,0.54,0.78,0.76
Surface downwelling shortwave radiation,rsds,∆W/m²,-1.14,24.56,2.85,40.86,3.16,44.09,14.74,45.04,20.32,45.41,9.29,40.85,4.25,25.09,3.82,20.59,13.77,24.26,3.80,31.13,13.51,24.12,9.17,24.12
Total cloud cover percentage,clt,∆%,-0.02,22.48,-1.96,28.49,-1.76,22.59,-6.53,19.10,-8.34,15.93,-5.00,16.45,-4.65,10.24,-5.48,9.38,-8.46,12.76,-3.86,17.99,-11.34,20.00,-10.27,25.57
Snow depth,snd,fraction,0.90,1.00,0.09,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,1.00
Near surface specific humidity,huss,∆kg/kg,0.000631,0.001549,0.000401,0.001649,0.000428,0.001495,-0.000067,0.001716,-0.000178,0.001624,0.000063,0.001845,0.000474,0.001617,0.000327,0.001622,-0.000047,0.001795,0.000421,0.001975,-0.000223,0.001642,0.000024,0.001651
Air pressure at mean sea level,psl,∆hPa,0.39,7.32,0.41,7.67,0.49,5.66,0.61,3.36,-0.20,2.30,-1.33,2.24,-0.95,1.79,-0.86,1.27,-0.51,1.78,0.06,3.00,2.58,5.16,2.12,6.68
Near surface wind speed,sfcWind,fraction,0.9952,0.4365,1.0154,0.4220,0.9751,0.4243,1.0115,0.3934,1.0471,0.3719,1.1050,0.4136,1.1160,0.4164,1.1030,0.3678,0.9945,0.3356,1.0235,0.4008,0.9728,0.4518,0.9731,0.4481
