# CNRM_CM6_1_HR ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.60,2.29,1.33,2.87,1.81,2.53,2.32,2.72,2.55,3.92,3.08,4.05,2.70,2.88,2.44,2.78,2.85,3.29,2.30,3.11,1.70,2.50,1.51,2.29
Daily maximum near surface air temperature,tasmax,∆°C,1.20,2.69,1.26,3.16,2.07,3.26,2.89,3.85,2.87,5.16,3.53,5.21,2.90,3.50,2.63,3.42,2.96,4.22,2.47,4.04,1.67,2.95,1.40,2.32
Daily minimum near surface air temperature,tasmin,∆°C,1.81,2.62,1.30,3.31,1.61,2.77,1.80,2.18,2.29,2.87,2.67,3.13,2.59,2.43,2.34,2.49,2.80,2.72,2.10,2.75,1.77,2.66,1.57,2.73
Precipitation,pr,fraction,1.38,1.36,0.98,0.91,0.80,0.73,0.70,0.66,0.72,0.78,0.55,0.66,0.58,0.82,1.05,1.42,0.60,0.67,0.80,0.78,0.98,0.84,1.06,1.05
Surface downwelling shortwave radiation,rsds,∆W/m²,-5.21,25.32,-0.81,34.58,8.52,40.28,18.92,46.73,11.41,41.71,12.98,38.67,4.72,28.37,4.77,26.70,3.38,29.89,6.30,29.59,-0.11,20.24,-0.19,20.24
Total cloud cover percentage,clt,∆%,5.40,23.17,2.88,26.99,-0.10,24.11,-4.93,22.65,-3.52,18.13,-4.71,13.90,-2.64,16.07,-1.18,18.60,-0.38,18.86,-3.07,21.50,1.41,19.82,1.19,23.12
Snow depth,snd,fraction,0.47,0.91,0.70,1.03,0.57,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.32
Near surface specific humidity,huss,∆kg/kg,0.000800,0.001239,0.000537,0.001571,0.000363,0.001535,0.000227,0.001355,0.000172,0.001540,-0.000068,0.002091,0.000659,0.001780,0.000705,0.001857,0.000707,0.001874,0.000419,0.001890,0.000755,0.001305,0.000692,0.001376
Air pressure at mean sea level,psl,∆hPa,-0.52,9.04,0.88,9.01,0.59,6.92,0.90,5.29,-0.08,3.38,-0.37,2.29,-0.46,1.67,-0.75,1.67,0.32,2.55,0.05,5.05,1.10,5.59,0.10,6.98
Near surface wind speed,sfcWind,fraction,1.0649,0.5477,1.0236,0.4963,0.9857,0.4660,0.9473,0.4191,1.0428,0.3757,1.0540,0.3876,1.0042,0.3432,1.0127,0.3646,0.9917,0.3820,0.9847,0.4398,0.9470,0.4198,1.0137,0.5493
