# UKESM1_0_LL ssp126 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.41,2.71,1.62,2.03,1.43,2.15,2.17,3.32,2.02,2.82,2.10,2.99,2.23,2.66,2.52,2.35,2.01,2.40,2.33,2.62,1.80,2.40,1.50,3.19
Daily maximum near surface air temperature,tasmax,∆°C,1.74,2.21,2.15,2.39,1.56,3.47,2.61,4.90,2.30,3.56,2.52,3.94,2.38,3.19,2.93,2.81,2.15,3.07,2.39,3.67,2.11,2.63,1.73,2.58
Daily minimum near surface air temperature,tasmin,∆°C,1.26,3.38,1.29,2.83,1.36,2.20,1.76,2.54,1.69,2.64,1.60,2.84,1.99,2.61,2.12,2.34,1.88,2.81,2.28,3.49,1.60,3.41,1.39,3.97
Precipitation,pr,fraction,0.74,0.94,0.59,0.76,1.16,1.47,0.78,0.89,0.90,0.98,0.82,1.05,0.56,0.89,0.39,0.58,0.98,1.36,1.29,1.50,0.90,0.98,1.23,1.47
Surface downwelling shortwave radiation,rsds,∆W/m²,5.19,27.04,7.99,39.51,3.05,40.28,16.83,47.53,7.63,31.42,7.35,26.25,7.51,17.97,7.35,15.61,4.81,18.77,3.23,25.42,5.34,26.56,2.76,26.56
Total cloud cover percentage,clt,∆%,-2.28,33.84,-0.79,34.68,-1.39,26.40,-6.08,25.95,-4.62,18.38,0.14,18.25,-4.04,16.69,-4.24,13.12,-4.13,17.85,-2.06,20.72,-4.64,28.43,-1.57,28.97
Snow depth,snd,fraction,0.40,0.88,1.75,1.00,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00
Near surface specific humidity,huss,∆kg/kg,0.000609,0.001566,0.000735,0.001355,0.000595,0.001353,0.000883,0.001556,0.000655,0.001744,0.000610,0.001930,0.000762,0.001675,0.000813,0.001445,0.001017,0.002032,0.001472,0.002449,0.000922,0.002004,0.000693,0.001884
Air pressure at mean sea level,psl,∆hPa,0.15,7.83,0.79,9.00,-1.29,7.02,0.00,4.64,-0.79,3.22,-0.20,2.22,-0.05,1.76,-0.57,1.64,-0.05,2.11,-0.81,3.57,-0.42,5.82,-0.32,8.18
Near surface wind speed,sfcWind,fraction,0.9164,0.4591,0.8547,0.4514,0.9913,0.4726,0.9272,0.3896,1.0001,0.3908,0.9896,0.3541,0.9889,0.3152,0.9729,0.2864,0.9420,0.3428,0.9491,0.3699,0.9110,0.4632,0.9881,0.5293
