# GISS_E2_2_G ssp126 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.87,1.99,2.11,2.35,1.92,2.96,1.57,3.13,2.82,3.12,2.41,3.07,2.74,2.83,2.94,2.51,2.15,2.52,1.93,3.26,1.21,2.78,2.20,2.27
Daily maximum near surface air temperature,tasmax,∆°C,2.15,2.23,2.15,2.94,1.91,3.66,1.55,3.59,2.92,3.59,2.30,3.33,2.76,3.05,2.88,2.84,2.13,2.67,1.81,3.43,1.22,3.00,2.28,2.29
Daily minimum near surface air temperature,tasmin,∆°C,1.80,2.26,2.05,2.55,1.95,2.60,1.47,3.01,2.63,2.80,2.47,2.95,2.72,2.84,2.92,2.44,1.95,2.68,1.98,3.40,1.14,3.13,2.20,2.72
Precipitation,pr,fraction,0.75,0.79,0.80,0.84,1.13,1.24,0.89,0.95,0.60,0.66,0.85,1.05,0.68,0.83,0.56,0.67,0.81,0.94,0.84,0.94,0.87,0.84,1.18,1.20
Surface downwelling shortwave radiation,rsds,∆W/m²,8.78,18.32,4.11,25.80,5.04,31.27,10.52,35.91,9.67,39.35,5.70,41.11,5.15,32.82,1.23,31.00,11.71,31.43,4.42,25.74,6.21,22.72,3.08,22.72
Total cloud cover percentage,clt,∆%,-3.51,17.35,-3.53,24.15,-0.97,21.88,-7.18,18.19,-3.58,23.34,-1.62,19.31,-1.26,16.84,-1.03,20.26,-4.45,21.39,-2.35,20.44,-2.01,21.81,1.08,19.16
Snow depth,snd,fraction,0.90,0.92,0.86,0.92,0.91,0.92,0.91,0.92,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.92,0.98,1.03,0.10,0.94
Near surface specific humidity,huss,∆kg/kg,0.000567,0.000988,0.000615,0.001154,0.000579,0.000963,0.000387,0.001171,0.000498,0.001302,0.000685,0.001588,0.000874,0.001639,0.001320,0.001605,0.000704,0.001825,0.000825,0.001753,0.000482,0.001290,0.000868,0.001171
Air pressure at mean sea level,psl,∆hPa,0.78,6.50,0.39,7.06,-0.46,6.09,-0.55,4.46,0.21,2.70,-0.67,2.26,-0.71,2.22,-0.62,1.66,-0.68,2.41,-0.83,4.05,0.35,5.75,-0.68,7.04
Near surface wind speed,sfcWind,fraction,0.9879,0.4082,0.9843,0.4050,1.0335,0.3913,0.9889,0.3585,1.0057,0.3581,0.9934,0.3391,1.0043,0.3246,0.9662,0.3684,0.9557,0.3639,0.9585,0.3796,1.0148,0.4070,1.0300,0.4542
