# CanESM5_1 ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.73,2.10,1.37,1.95,1.28,2.78,1.50,2.96,2.13,3.36,3.35,3.37,3.09,2.95,2.87,2.05,2.96,2.72,2.76,2.88,2.15,2.13,2.01,1.97
Daily maximum near surface air temperature,tasmax,∆°C,1.43,2.93,0.89,2.87,0.79,3.93,1.57,4.42,2.36,4.53,3.56,4.07,3.02,3.75,2.54,2.77,3.10,3.75,3.00,3.94,2.23,2.83,1.97,2.18
Daily minimum near surface air temperature,tasmin,∆°C,1.87,2.49,1.76,2.25,1.70,2.33,1.44,2.08,1.86,2.43,3.12,3.05,3.14,2.66,3.14,2.03,2.61,2.21,2.68,2.67,2.07,2.20,1.98,2.43
Precipitation,pr,fraction,2.06,2.46,1.61,2.27,1.71,2.11,1.46,1.74,0.79,0.98,0.95,1.10,1.23,1.45,1.33,1.70,0.74,0.77,0.79,0.82,0.94,1.00,0.96,1.07
Surface downwelling shortwave radiation,rsds,∆W/m²,-6.29,29.91,-6.16,39.59,-12.19,37.46,1.93,46.01,5.59,35.07,3.09,27.82,4.15,20.02,-1.80,15.01,5.91,24.16,4.47,27.56,-0.21,24.46,-0.40,24.46
Total cloud cover percentage,clt,∆%,8.04,29.67,6.11,36.72,11.69,27.46,3.86,24.99,-5.48,19.51,-3.39,14.48,-4.36,12.75,-1.47,10.18,-4.63,18.86,-5.43,22.24,0.30,24.73,3.45,25.38
Snow depth,snd,fraction,1.00,1.00,1.00,1.00,9.51,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Near surface specific humidity,huss,∆kg/kg,0.000932,0.001222,0.000722,0.001533,0.000857,0.001358,0.000548,0.001332,0.000550,0.001215,0.000797,0.001675,0.001591,0.001827,0.001958,0.002001,0.001236,0.001675,0.001162,0.001673,0.000994,0.001306,0.000884,0.001270
Air pressure at mean sea level,psl,∆hPa,-3.31,6.75,-2.66,8.61,-3.35,6.55,-1.32,4.78,0.26,2.94,-0.62,2.18,-0.96,1.60,-1.86,2.17,-0.75,2.47,0.13,3.56,-0.77,5.55,-1.53,7.12
Near surface wind speed,sfcWind,fraction,1.0862,0.5662,1.1002,0.5309,1.0720,0.4867,0.9641,0.4246,0.9381,0.3577,0.9602,0.3742,0.9674,0.3591,0.9762,0.3871,0.9555,0.4068,0.9649,0.4144,0.9582,0.4537,0.9613,0.4919
