# GISS_E2_2_G ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.73,2.38,2.02,2.42,1.53,2.95,1.34,2.71,2.18,3.13,2.65,3.51,2.39,2.66,2.45,2.75,1.72,3.07,1.63,3.35,1.39,2.60,1.73,2.53
Daily maximum near surface air temperature,tasmax,∆°C,1.86,2.56,1.92,2.88,1.49,3.54,1.18,3.11,2.23,3.62,2.55,3.70,2.37,2.75,2.41,3.02,1.66,3.14,1.53,3.64,1.57,2.67,1.75,2.49
Daily minimum near surface air temperature,tasmin,∆°C,1.77,2.69,2.14,2.63,1.60,2.65,1.45,2.47,1.97,2.77,2.69,3.46,2.44,2.86,2.41,2.76,1.66,3.27,1.72,3.32,1.27,3.00,1.73,2.93
Precipitation,pr,fraction,0.68,0.74,0.84,0.93,0.97,0.97,1.03,1.08,0.65,0.77,0.82,0.95,0.63,0.76,0.67,0.89,0.85,0.94,1.25,1.36,0.50,0.47,1.03,1.08
Surface downwelling shortwave radiation,rsds,∆W/m²,6.15,18.22,0.68,24.13,2.21,29.56,4.57,35.19,9.63,42.33,2.96,45.91,3.76,35.03,4.65,29.98,3.23,33.90,-3.29,24.73,5.47,22.15,0.13,22.15
Total cloud cover percentage,clt,∆%,-5.44,18.53,-0.84,23.01,1.11,20.08,-5.53,19.34,-5.43,22.49,-3.61,22.15,-3.31,17.17,-4.32,19.73,-2.55,19.26,0.62,19.09,-6.25,22.28,0.79,17.01
Snow depth,snd,fraction,8.40,1.10,8.30,0.95,1.39,0.95,0.93,0.95,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.92,0.99,1.05,1.49,2.53
Near surface specific humidity,huss,∆kg/kg,0.000399,0.001072,0.000518,0.001034,0.000555,0.000905,0.000408,0.001065,0.000314,0.001410,0.000796,0.001906,0.000719,0.001689,0.000867,0.001641,0.000789,0.001947,0.001014,0.001605,0.000377,0.001330,0.000703,0.001183
Air pressure at mean sea level,psl,∆hPa,0.82,7.41,-0.09,6.99,-1.15,5.61,-0.91,4.60,0.13,2.82,-1.05,2.32,-0.93,2.07,-0.91,1.78,-0.99,2.39,-1.61,3.92,1.84,5.20,-0.78,7.17
Near surface wind speed,sfcWind,fraction,1.0360,0.4237,1.0261,0.4356,1.0247,0.3853,1.0239,0.3527,1.0036,0.3799,0.9878,0.3566,1.0129,0.3257,0.9903,0.3394,0.9642,0.3620,0.9195,0.3570,0.9924,0.4163,1.0169,0.4415
