# GISS_E2_1_G ssp245 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.34,2.33,1.08,2.66,0.92,2.53,1.56,2.74,2.00,3.46,2.01,3.55,2.49,2.51,2.59,3.25,2.30,2.42,2.92,3.22,1.80,2.47,1.54,2.37
Daily maximum near surface air temperature,tasmax,∆°C,1.37,2.55,1.00,3.06,0.84,3.14,1.55,3.28,1.85,3.83,1.93,3.94,2.49,2.70,2.51,3.51,2.18,2.63,3.06,3.27,1.89,2.77,1.35,2.56
Daily minimum near surface air temperature,tasmin,∆°C,1.40,2.70,1.12,3.02,0.94,2.46,1.61,2.51,2.13,3.27,2.05,3.31,2.48,2.56,2.63,3.17,2.35,2.45,2.79,3.45,1.78,2.63,1.66,2.67
Precipitation,pr,fraction,1.13,1.14,1.07,1.22,1.15,1.16,0.70,0.73,0.96,1.05,0.90,1.17,0.45,0.54,0.58,0.71,0.77,0.84,0.70,0.78,0.84,0.84,1.36,1.28
Surface downwelling shortwave radiation,rsds,∆W/m²,2.74,19.95,0.94,32.75,0.51,38.65,4.42,38.13,-1.70,42.02,2.64,40.28,3.18,23.34,2.32,26.11,6.10,31.08,8.18,27.83,3.02,21.47,-3.43,21.47
Total cloud cover percentage,clt,∆%,-2.20,16.87,-1.23,24.13,-2.05,21.18,-4.68,20.68,-2.45,21.95,-2.01,19.25,-2.91,13.40,-5.53,16.30,-6.47,20.63,-6.62,21.18,-4.19,18.08,1.36,19.57
Snow depth,snd,fraction,0.94,0.97,0.95,0.98,0.92,0.93,0.91,1.00,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,1.00,0.91,0.91,0.93,0.96
Near surface specific humidity,huss,∆kg/kg,0.000653,0.001163,0.000414,0.001382,0.000518,0.001201,0.000552,0.001108,0.000704,0.001478,0.000865,0.001803,0.001004,0.001759,0.001162,0.001756,0.001072,0.001821,0.001325,0.002116,0.000908,0.001371,0.000938,0.001349
Air pressure at mean sea level,psl,∆hPa,-0.12,9.02,-0.49,7.63,-0.92,5.48,-0.12,4.30,-0.26,2.43,-0.88,2.28,-0.83,1.68,-0.88,1.45,-0.43,2.18,-0.30,3.14,0.41,6.32,-2.09,7.11
Near surface wind speed,sfcWind,fraction,1.0097,0.4149,0.9919,0.4027,0.9717,0.3384,1.0123,0.3837,1.0308,0.3729,1.0050,0.3707,0.9585,0.3241,1.0248,0.3734,1.0185,0.3994,0.9928,0.4279,0.9629,0.3792,1.0101,0.3932
