# CanESM5_CanOE ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.38,1.98,1.85,2.38,2.50,3.12,2.34,3.45,2.74,3.52,3.45,3.44,3.84,2.70,4.21,2.45,4.30,2.38,3.78,2.13,2.64,2.15,2.27,2.18
Daily maximum near surface air temperature,tasmax,∆°C,2.20,2.22,1.94,3.50,2.88,4.46,2.58,4.93,2.88,4.62,3.51,4.28,3.81,3.83,4.24,3.13,4.28,3.31,4.04,2.92,2.91,2.86,2.33,2.24
Daily minimum near surface air temperature,tasmin,∆°C,2.55,2.55,1.83,2.31,2.18,2.60,2.24,2.46,2.63,2.73,3.26,2.98,3.73,2.06,3.89,2.43,4.26,2.39,3.71,2.29,2.56,2.31,2.38,2.67
Precipitation,pr,fraction,1.73,1.96,1.52,2.17,0.94,1.36,0.91,1.01,0.95,1.06,0.75,1.02,1.09,1.40,0.57,0.75,0.73,0.81,0.65,0.73,0.88,0.90,0.87,0.97
Surface downwelling shortwave radiation,rsds,∆W/m²,-5.16,29.08,1.58,35.39,7.25,40.17,6.83,39.15,10.74,33.95,7.04,24.51,1.18,21.22,2.81,14.86,5.90,25.38,4.60,32.00,5.54,25.60,2.51,25.60
Total cloud cover percentage,clt,∆%,3.92,31.68,-0.61,29.76,-0.85,27.81,-3.48,19.91,-5.15,20.01,-3.25,12.18,-0.75,11.19,-3.53,12.07,-5.38,20.45,-5.66,27.64,-6.50,25.09,-1.89,28.63
Snow depth,snd,fraction,0.05,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05,1.00
Near surface specific humidity,huss,∆kg/kg,0.001150,0.001369,0.000747,0.001298,0.000845,0.001446,0.000556,0.001508,0.001004,0.001463,0.001385,0.002204,0.002068,0.002520,0.001986,0.001877,0.002135,0.002400,0.001829,0.001739,0.001184,0.001384,0.000967,0.001333
Air pressure at mean sea level,psl,∆hPa,-2.86,9.21,-2.57,7.85,-1.93,6.33,-0.71,4.20,-0.49,2.88,-1.10,2.10,-1.66,1.68,-2.22,2.34,-1.21,2.36,-0.29,4.64,-0.17,6.09,0.00,7.64
Near surface wind speed,sfcWind,fraction,1.0941,0.5645,1.0487,0.5488,0.9098,0.4014,1.0056,0.4140,0.9741,0.4027,0.9509,0.4011,0.9343,0.3454,0.9827,0.3745,1.0017,0.4220,0.9033,0.3780,0.9156,0.4274,0.9560,0.4974
